PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Seth Curry,PHI,06/06/2021,PHI vs. ATL,L,36,21,16
Reggie Jackson,LAC,06/06/2021,LAC vs. DAL,W,28,15,3
Rajon Rondo,LAC,06/06/2021,LAC vs. DAL,W,9,3,3
Paul George,LAC,06/06/2021,LAC vs. DAL,W,43,22,10
Onyeka Okongwu,ATL,06/06/2021,ATL @ PHI,W,12,2,13
Nicolas Batum,LAC,06/06/2021,LAC vs. DAL,W,42,11,5
Maxi Kleber,DAL,06/06/2021,DAL @ LAC,L,9,0,-12
Matisse Thybulle,PHI,06/06/2021,PHI vs. ATL,L,19,10,-12
Marcus Morris Sr.,LAC,06/06/2021,LAC vs. DAL,W,30,23,15
Luke Kennard,LAC,06/06/2021,LAC vs. DAL,W,15,11,14
Luka Doncic,DAL,06/06/2021,DAL @ LAC,L,45,46,-9
Lou Williams,ATL,06/06/2021,ATL @ PHI,W,11,8,16
Kristaps Porzingis,DAL,06/06/2021,DAL @ LAC,L,43,16,-8
Kevin Huerter,ATL,06/06/2021,ATL @ PHI,W,29,15,8
Kawhi Leonard,LAC,06/06/2021,LAC vs. DAL,W,42,28,8
Josh Richardson,DAL,06/06/2021,DAL @ LAC,L,6,0,-8
John Collins,ATL,06/06/2021,ATL @ PHI,W,34,21,-12
Joel Embiid,PHI,06/06/2021,PHI vs. ATL,L,38,39,13
Jalen Brunson,DAL,06/06/2021,DAL @ LAC,L,10,2,-11
Ivica Zubac,LAC,06/06/2021,LAC vs. DAL,W,3,0,3
George Hill,PHI,06/06/2021,PHI vs. ATL,L,11,0,-17
Furkan Korkmaz,PHI,06/06/2021,PHI vs. ATL,L,11,7,-12
Dwight Powell,DAL,06/06/2021,DAL @ LAC,L,5,4,-2
Dwight Howard,PHI,06/06/2021,PHI vs. ATL,L,8,0,-15
Dorian Finney-Smith,DAL,06/06/2021,DAL @ LAC,L,39,18,1
Danny Green,PHI,06/06/2021,PHI vs. ATL,L,30,4,5
Danilo Gallinari,ATL,06/06/2021,ATL @ PHI,W,18,9,11
Daniel Oturu,LAC,06/06/2021,LAC vs. DAL,W,1,0,0
Clint Capela,ATL,06/06/2021,ATL @ PHI,W,32,11,-4
Bogdan Bogdanovic,ATL,06/06/2021,ATL @ PHI,W,36,21,0
Boban Marjanovic,DAL,06/06/2021,DAL @ LAC,L,31,14,-1
Ben Simmons,PHI,06/06/2021,PHI vs. ATL,L,37,17,4
Amir Coffey,LAC,06/06/2021,LAC vs. DAL,W,1,0,0
Tyler Johnson,BKN,06/05/2021,BKN vs. MIL,W,1,0,-6
Timothe Luwawu-Cabarrot,BKN,06/05/2021,BKN vs. MIL,W,1,0,-6
Thanasis Antetokounmpo,MIL,06/05/2021,MIL @ BKN,L,4,1,11
Reggie Perry,BKN,06/05/2021,BKN vs. MIL,W,1,0,-6
Pat Connaughton,MIL,06/05/2021,MIL @ BKN,L,20,3,1
P.J. Tucker,MIL,06/05/2021,MIL @ BKN,L,28,7,-13
Nic Claxton,BKN,06/05/2021,BKN vs. MIL,W,14,4,11
Mike James,BKN,06/05/2021,BKN vs. MIL,W,30,12,12
Landry Shamet,BKN,06/05/2021,BKN vs. MIL,W,12,2,10
Kyrie Irving,BKN,06/05/2021,BKN vs. MIL,W,45,25,14
Khris Middleton,MIL,06/05/2021,MIL @ BKN,L,36,13,-6
Kevin Durant,BKN,06/05/2021,BKN vs. MIL,W,40,29,14
Jrue Holiday,MIL,06/05/2021,MIL @ BKN,L,37,17,-13
Joe Harris,BKN,06/05/2021,BKN vs. MIL,W,34,19,6
Jeff Teague,MIL,06/05/2021,MIL @ BKN,L,14,2,-2
James Harden,BKN,06/05/2021,BKN vs. MIL,W,1,0,-2
Giannis Antetokounmpo,MIL,06/05/2021,MIL @ BKN,L,35,34,-7
Chris Chiozza,BKN,06/05/2021,BKN vs. MIL,W,1,0,-6
Bryn Forbes,MIL,06/05/2021,MIL @ BKN,L,22,5,0
Bruce Brown,BKN,06/05/2021,BKN vs. MIL,W,21,6,3
Brook Lopez,MIL,06/05/2021,MIL @ BKN,L,28,19,-8
Bobby Portis,MIL,06/05/2021,MIL @ BKN,L,17,6,-3
Blake Griffin,BKN,06/05/2021,BKN vs. MIL,W,35,18,2
Alize Johnson,BKN,06/05/2021,BKN vs. MIL,W,1,0,-6
Willie Cauley-Stein,DAL,06/04/2021,DAL vs. LAC,L,19,2,-13
Tim Hardaway Jr.,DAL,06/04/2021,DAL vs. LAC,L,38,23,-8
Terance Mann,LAC,06/04/2021,LAC @ DAL,W,11,0,1
Reggie Jackson,LAC,06/04/2021,LAC @ DAL,W,38,25,13
Rajon Rondo,LAC,06/04/2021,LAC @ DAL,W,10,0,-6
Paul George,LAC,06/04/2021,LAC @ DAL,W,46,20,9
Nicolas Batum,LAC,06/04/2021,LAC @ DAL,W,37,6,0
Maxi Kleber,DAL,06/04/2021,DAL vs. LAC,L,21,0,-13
Marcus Morris Sr.,LAC,06/04/2021,LAC @ DAL,W,42,4,6
Luke Kennard,LAC,06/04/2021,LAC @ DAL,W,10,2,3
Luka Doncic,DAL,06/04/2021,DAL vs. LAC,L,41,29,-8
Kristaps Porzingis,DAL,06/04/2021,DAL vs. LAC,L,31,7,1
Kawhi Leonard,LAC,06/04/2021,LAC @ DAL,W,42,45,8
Josh Richardson,DAL,06/04/2021,DAL vs. LAC,L,9,6,-3
Jalen Brunson,DAL,06/04/2021,DAL vs. LAC,L,15,7,9
Ivica Zubac,LAC,06/04/2021,LAC @ DAL,W,5,2,1
Dwight Powell,DAL,06/04/2021,DAL vs. LAC,L,7,0,3
Dorian Finney-Smith,DAL,06/04/2021,DAL vs. LAC,L,42,11,-8
Boban Marjanovic,DAL,06/04/2021,DAL vs. LAC,L,17,12,5
Wesley Matthews,LAL,06/03/2021,LAL vs. PHX,L,28,12,-4
Torrey Craig,PHX,06/03/2021,PHX @ LAL,W,11,3,8
Talen Horton-Tucker,LAL,06/03/2021,LAL vs. PHX,L,19,12,-1
T.J. Leaf,POR,06/03/2021,POR vs. DEN,L,1,0,0
Shaquille Harrison,DEN,06/03/2021,DEN @ POR,W,0,0,0
Rondae Hollis-Jefferson,POR,06/03/2021,POR vs. DEN,L,9,2,3
Robert Covington,POR,06/03/2021,POR vs. DEN,L,38,11,-3
Paul Millsap,DEN,06/03/2021,DEN @ POR,W,12,2,-4
Norman Powell,POR,06/03/2021,POR vs. DEN,L,32,17,-2
Nikola Jokic,DEN,06/03/2021,DEN @ POR,W,36,36,15
Nassir Little,POR,06/03/2021,POR vs. DEN,L,1,0,0
Montrezl Harrell,LAL,06/03/2021,LAL vs. PHX,L,8,2,-16
Monte Morris,DEN,06/03/2021,DEN @ POR,W,33,22,19
Mikal Bridges,PHX,06/03/2021,PHX @ LAL,W,35,10,-4
Michael Porter Jr.,DEN,06/03/2021,DEN @ POR,W,34,26,-8
Markus Howard,DEN,06/03/2021,DEN @ POR,W,5,0,2
Markieff Morris,LAL,06/03/2021,LAL vs. PHX,L,16,2,-8
Marc Gasol,LAL,06/03/2021,LAL vs. PHX,L,18,0,-3
LeBron James,LAL,06/03/2021,LAL vs. PHX,L,41,29,-3
Kyle Kuzma,LAL,06/03/2021,LAL vs. PHX,L,18,2,-4
Kentavious Caldwell-Pope,LAL,06/03/2021,LAL vs. PHX,L,39,19,-4
Keljin Blevins,POR,06/03/2021,POR vs. DEN,L,1,0,0
Jusuf Nurkic,POR,06/03/2021,POR vs. DEN,L,33,13,-9
Jevon Carter,PHX,06/03/2021,PHX @ LAL,W,1,0,0
Jared Dudley,LAL,06/03/2021,LAL vs. PHX,L,1,0,0
Jae Crowder,PHX,06/03/2021,PHX @ LAL,W,37,18,0
JaMychal Green,DEN,06/03/2021,DEN @ POR,W,23,10,22
Frank Kaminsky,PHX,06/03/2021,PHX @ LAL,W,7,2,14
Facundo Campazzo,DEN,06/03/2021,DEN @ POR,W,23,10,-2
Devin Booker,PHX,06/03/2021,PHX @ LAL,W,46,47,10
Dennis Schroder,LAL,06/03/2021,LAL vs. PHX,L,38,20,-9
Deandre Ayton,PHX,06/03/2021,PHX @ LAL,W,32,8,0
Damian Lillard,POR,06/03/2021,POR vs. DEN,L,43,28,-11
Chris Paul,PHX,06/03/2021,PHX @ LAL,W,29,8,3
Carmelo Anthony,POR,06/03/2021,POR vs. DEN,L,23,14,-17
Cameron Payne,PHX,06/03/2021,PHX @ LAL,W,23,7,16
Cameron Johnson,PHX,06/03/2021,PHX @ LAL,W,20,10,18
CJ McCollum,POR,06/03/2021,POR vs. DEN,L,38,21,-8
Ben McLemore,LAL,06/03/2021,LAL vs. PHX,L,1,0,0
Austin Rivers,DEN,06/03/2021,DEN @ POR,W,40,7,5
Anthony Davis,LAL,06/03/2021,LAL vs. PHX,L,5,0,-7
Anfernee Simons,POR,06/03/2021,POR vs. DEN,L,21,9,-8
Alfonzo McKinnie,LAL,06/03/2021,LAL vs. PHX,L,1,0,0
Alex Caruso,LAL,06/03/2021,LAL vs. PHX,L,8,2,-6
Aaron Gordon,DEN,06/03/2021,DEN @ POR,W,33,13,6
Xavier Tillman Sr.,MEM,06/02/2021,MEM @ UTA,L,3,2,4
Willie Cauley-Stein,DAL,06/02/2021,DAL @ LAC,W,5,2,0
Tyus Jones,MEM,06/02/2021,MEM @ UTA,L,17,4,13
Tyrese Maxey,PHI,06/02/2021,PHI vs. WAS,W,26,13,14
Trent Forrest,UTA,06/02/2021,UTA vs. MEM,W,4,0,-9
Trae Young,ATL,06/02/2021,ATL @ NYK,W,41,36,16
Tobias Harris,PHI,06/02/2021,PHI vs. WAS,W,37,28,11
Tim Hardaway Jr.,DAL,06/02/2021,DAL @ LAC,W,45,20,6
Terance Mann,LAC,06/02/2021,LAC vs. DAL,L,15,4,-4
Taj Gibson,NYK,06/02/2021,NYK vs. ATL,L,33,4,-15
Solomon Hill,ATL,06/02/2021,ATL @ NYK,W,7,0,-4
Shake Milton,PHI,06/02/2021,PHI vs. WAS,W,7,2,-1
Seth Curry,PHI,06/02/2021,PHI vs. WAS,W,31,30,11
Russell Westbrook,WAS,06/02/2021,WAS @ PHI,L,38,24,-21
Rui Hachimura,WAS,06/02/2021,WAS @ PHI,L,43,21,-15
Rudy Gobert,UTA,06/02/2021,UTA vs. MEM,W,33,23,23
Royce O'Neale,UTA,06/02/2021,UTA vs. MEM,W,36,17,23
Robin Lopez,WAS,06/02/2021,WAS @ PHI,L,17,7,-9
Reggie Jackson,LAC,06/02/2021,LAC vs. DAL,L,29,20,4
Reggie Bullock,NYK,06/02/2021,NYK vs. ATL,L,40,12,-12
Rayjon Tucker,PHI,06/02/2021,PHI vs. WAS,W,2,1,-2
Raul Neto,WAS,06/02/2021,WAS @ PHI,L,30,8,-8
Rajon Rondo,LAC,06/02/2021,LAC vs. DAL,L,21,1,-19
RJ Barrett,NYK,06/02/2021,NYK vs. ATL,L,40,17,-13
Paul Reed,PHI,06/02/2021,PHI vs. WAS,W,2,0,-2
Paul George,LAC,06/02/2021,LAC vs. DAL,L,39,23,17
Patrick Beverley,LAC,06/02/2021,LAC vs. DAL,L,0,0,-2
Onyeka Okongwu,ATL,06/02/2021,ATL @ NYK,W,6,2,2
Obi Toppin,NYK,06/02/2021,NYK vs. ATL,L,10,2,0
Nicolas Batum,LAC,06/02/2021,LAC vs. DAL,L,33,10,18
Nerlens Noel,NYK,06/02/2021,NYK vs. ATL,L,16,2,1
Miye Oni,UTA,06/02/2021,UTA vs. MEM,W,2,0,-4
Mike Scott,PHI,06/02/2021,PHI vs. WAS,W,5,0,0
Mike Conley,UTA,06/02/2021,UTA vs. MEM,W,12,7,14
Maxi Kleber,DAL,06/02/2021,DAL @ LAC,W,19,4,2
Matt Thomas,UTA,06/02/2021,UTA vs. MEM,W,2,0,-4
Matisse Thybulle,PHI,06/02/2021,PHI vs. WAS,W,16,7,1
Marcus Morris Sr.,LAC,06/02/2021,LAC vs. DAL,L,42,16,-12
Luka Doncic,DAL,06/02/2021,DAL @ LAC,W,43,42,15
Lou Williams,ATL,06/02/2021,ATL @ NYK,W,7,5,-2
Kyle Anderson,MEM,06/02/2021,MEM @ UTA,L,18,2,-22
Kristaps Porzingis,DAL,06/02/2021,DAL @ LAC,W,30,8,5
Kevin Huerter,ATL,06/02/2021,ATL @ NYK,W,20,8,-3
Kawhi Leonard,LAC,06/02/2021,LAC vs. DAL,L,42,20,-8
Juwan Morgan,UTA,06/02/2021,UTA vs. MEM,W,2,0,-4
Justise Winslow,MEM,06/02/2021,MEM @ UTA,L,3,0,4
Julius Randle,NYK,06/02/2021,NYK vs. ATL,L,37,23,-14
Josh Richardson,DAL,06/02/2021,DAL @ LAC,W,6,2,-8
Jordan Clarkson,UTA,06/02/2021,UTA vs. MEM,W,31,24,-10
Jonas Valanciunas,MEM,06/02/2021,MEM @ UTA,L,27,18,-26
John Konchar,MEM,06/02/2021,MEM @ UTA,L,3,0,4
John Collins,ATL,06/02/2021,ATL @ NYK,W,35,13,13
Joe Ingles,UTA,06/02/2021,UTA vs. MEM,W,28,0,8
Jarrell Brantley,UTA,06/02/2021,UTA vs. MEM,W,2,0,-4
Jaren Jackson Jr.,MEM,06/02/2021,MEM @ UTA,L,29,15,-19
Jalen Brunson,DAL,06/02/2021,DAL @ LAC,W,10,2,-10
Ja Morant,MEM,06/02/2021,MEM @ UTA,L,40,27,-19
Ivica Zubac,LAC,06/02/2021,LAC vs. DAL,L,20,6,-19
Ish Smith,WAS,06/02/2021,WAS @ PHI,L,26,9,-14
Isaiah Joe,PHI,06/02/2021,PHI vs. WAS,W,2,0,-2
Isaac Bonga,WAS,06/02/2021,WAS @ PHI,L,2,0,2
Immanuel Quickley,NYK,06/02/2021,NYK vs. ATL,L,13,11,-10
Grayson Allen,MEM,06/02/2021,MEM @ UTA,L,15,2,-8
Georges Niang,UTA,06/02/2021,UTA vs. MEM,W,14,6,0
George Hill,PHI,06/02/2021,PHI vs. WAS,W,14,2,10
Garrison Mathews,WAS,06/02/2021,WAS @ PHI,L,3,1,0
Furkan Korkmaz,PHI,06/02/2021,PHI vs. WAS,W,14,10,8
Dwight Powell,DAL,06/02/2021,DAL @ LAC,W,22,8,10
Dwight Howard,PHI,06/02/2021,PHI vs. WAS,W,16,12,8
Dorian Finney-Smith,DAL,06/02/2021,DAL @ LAC,W,40,8,14
Donovan Mitchell,UTA,06/02/2021,UTA vs. MEM,W,29,30,30
Dillon Brooks,MEM,06/02/2021,MEM @ UTA,L,40,27,-19
Desmond Bane,MEM,06/02/2021,MEM @ UTA,L,23,5,-8
Derrick Rose,NYK,06/02/2021,NYK vs. ATL,L,27,6,-11
Derrick Favors,UTA,06/02/2021,UTA vs. MEM,W,12,2,-3
De'Anthony Melton,MEM,06/02/2021,MEM @ UTA,L,17,6,12
De'Andre Hunter,ATL,06/02/2021,ATL @ NYK,W,35,15,19
Danny Green,PHI,06/02/2021,PHI vs. WAS,W,29,5,12
Danilo Gallinari,ATL,06/02/2021,ATL @ NYK,W,18,1,-8
Daniel Gafford,WAS,06/02/2021,WAS @ PHI,L,29,8,-7
Clint Capela,ATL,06/02/2021,ATL @ NYK,W,37,14,21
Chandler Hutchison,WAS,06/02/2021,WAS @ PHI,L,2,2,2
Brandon Clarke,MEM,06/02/2021,MEM @ UTA,L,3,2,4
Bradley Beal,WAS,06/02/2021,WAS @ PHI,L,40,32,-14
Bojan Bogdanovic,UTA,06/02/2021,UTA vs. MEM,W,31,17,20
Bogdan Bogdanovic,ATL,06/02/2021,ATL @ NYK,W,35,9,16
Boban Marjanovic,DAL,06/02/2021,DAL @ LAC,W,20,9,-9
Ben Simmons,PHI,06/02/2021,PHI vs. WAS,W,39,19,17
Anthony Gill,WAS,06/02/2021,WAS @ PHI,L,11,0,-3
Alex Len,WAS,06/02/2021,WAS @ PHI,L,2,0,2
Alec Burks,NYK,06/02/2021,NYK vs. ATL,L,24,12,4
Wesley Matthews,LAL,06/01/2021,LAL @ PHX,L,22,5,-10
Tyler Johnson,BKN,06/01/2021,BKN vs. BOS,W,11,3,2
Tristan Thompson,BOS,06/01/2021,BOS @ BKN,L,30,9,-17
Torrey Craig,PHX,06/01/2021,PHX vs. LAL,W,18,2,9
Timothe Luwawu-Cabarrot,BKN,06/01/2021,BKN vs. BOS,W,1,0,0
Talen Horton-Tucker,LAL,06/01/2021,LAL @ PHX,L,16,11,-8
Shaquille Harrison,DEN,06/01/2021,DEN vs. POR,W,1,2,-1
Rondae Hollis-Jefferson,POR,06/01/2021,POR @ DEN,L,9,4,-21
Romeo Langford,BOS,06/01/2021,BOS @ BKN,L,38,17,-7
Robert Covington,POR,06/01/2021,POR @ DEN,L,44,19,0
Payton Pritchard,BOS,06/01/2021,BOS @ BKN,L,18,3,-11
Paul Millsap,DEN,06/01/2021,DEN vs. POR,W,11,4,7
Norman Powell,POR,06/01/2021,POR @ DEN,L,51,13,11
Nikola Jokic,DEN,06/01/2021,DEN vs. POR,W,46,38,-2
Nic Claxton,BKN,06/01/2021,BKN vs. BOS,W,12,6,-4
Montrezl Harrell,LAL,06/01/2021,LAL @ PHX,L,12,9,-1
Monte Morris,DEN,06/01/2021,DEN vs. POR,W,41,28,7
Mike James,BKN,06/01/2021,BKN vs. BOS,W,1,0,0
Mikal Bridges,PHX,06/01/2021,PHX vs. LAL,W,30,13,23
Michael Porter Jr.,DEN,06/01/2021,DEN vs. POR,W,48,26,11
Markus Howard,DEN,06/01/2021,DEN vs. POR,W,16,9,9
Markieff Morris,LAL,06/01/2021,LAL @ PHX,L,10,4,-13
Marcus Smart,BOS,06/01/2021,BOS @ BKN,L,39,14,-11
Marc Gasol,LAL,06/01/2021,LAL @ PHX,L,10,5,-14
LeBron James,LAL,06/01/2021,LAL @ PHX,L,32,24,-24
Langston Galloway,PHX,06/01/2021,PHX vs. LAL,W,9,2,1
Landry Shamet,BKN,06/01/2021,BKN vs. BOS,W,22,5,8
Kyrie Irving,BKN,06/01/2021,BKN vs. BOS,W,38,25,23
Kyle Kuzma,LAL,06/01/2021,LAL @ PHX,L,23,15,-6
Kevin Durant,BKN,06/01/2021,BKN vs. BOS,W,37,24,16
Kentavious Caldwell-Pope,LAL,06/01/2021,LAL @ PHX,L,15,0,-19
Jusuf Nurkic,POR,06/01/2021,POR @ DEN,L,24,13,1
Joe Harris,BKN,06/01/2021,BKN vs. BOS,W,35,10,-2
Jevon Carter,PHX,06/01/2021,PHX vs. LAL,W,8,0,-4
Jayson Tatum,BOS,06/01/2021,BOS @ BKN,L,41,32,-14
Jared Dudley,LAL,06/01/2021,LAL @ PHX,L,4,0,-2
James Harden,BKN,06/01/2021,BKN vs. BOS,W,39,34,22
Jalen Smith,PHX,06/01/2021,PHX vs. LAL,W,4,3,2
Jae Crowder,PHX,06/01/2021,PHX vs. LAL,W,29,9,23
Jabari Parker,BOS,06/01/2021,BOS @ BKN,L,14,13,5
JaVale McGee,DEN,06/01/2021,DEN vs. POR,W,0,0,0
JaMychal Green,DEN,06/01/2021,DEN vs. POR,W,20,5,5
Grant Williams,BOS,06/01/2021,BOS @ BKN,L,12,3,-4
Frank Kaminsky,PHX,06/01/2021,PHX vs. LAL,W,10,3,1
Facundo Campazzo,DEN,06/01/2021,DEN vs. POR,W,21,3,5
Evan Fournier,BOS,06/01/2021,BOS @ BKN,L,36,18,-8
Enes Freedom,POR,06/01/2021,POR @ DEN,L,14,4,-8
E'Twaun Moore,PHX,06/01/2021,PHX vs. LAL,W,9,4,1
Devin Booker,PHX,06/01/2021,PHX vs. LAL,W,33,30,22
Dennis Schroder,LAL,06/01/2021,LAL @ PHX,L,26,0,-17
Deandre Ayton,PHX,06/01/2021,PHX vs. LAL,W,27,8,25
Dario Saric,PHX,06/01/2021,PHX vs. LAL,W,7,5,0
Damian Lillard,POR,06/01/2021,POR @ DEN,L,52,55,2
Chris Paul,PHX,06/01/2021,PHX vs. LAL,W,23,9,34
Chris Chiozza,BKN,06/01/2021,BKN vs. BOS,W,1,0,0
Carmelo Anthony,POR,06/01/2021,POR @ DEN,L,30,8,2
Cameron Payne,PHX,06/01/2021,PHX vs. LAL,W,19,16,2
Cameron Johnson,PHX,06/01/2021,PHX vs. LAL,W,13,11,11
CJ McCollum,POR,06/01/2021,POR @ DEN,L,51,18,-7
Bruce Brown,BKN,06/01/2021,BKN vs. BOS,W,24,10,5
Blake Griffin,BKN,06/01/2021,BKN vs. BOS,W,18,6,0
Ben McLemore,LAL,06/01/2021,LAL @ PHX,L,16,0,-8
Austin Rivers,DEN,06/01/2021,DEN vs. POR,W,47,18,-4
Anfernee Simons,POR,06/01/2021,POR @ DEN,L,15,6,-15
Andre Drummond,LAL,06/01/2021,LAL @ PHX,L,22,7,-8
Alfonzo McKinnie,LAL,06/01/2021,LAL @ PHX,L,11,0,0
Alex Caruso,LAL,06/01/2021,LAL @ PHX,L,21,5,-20
Aaron Nesmith,BOS,06/01/2021,BOS @ BKN,L,12,0,-3
Aaron Gordon,DEN,06/01/2021,DEN vs. POR,W,39,14,-2
Tyus Jones,MEM,05/31/2021,MEM vs. UTA,L,5,0,2
Tyrese Maxey,PHI,05/31/2021,PHI @ WAS,L,22,15,-8
Tobias Harris,PHI,05/31/2021,PHI @ WAS,L,37,21,-8
Shake Milton,PHI,05/31/2021,PHI @ WAS,L,7,6,-4
Seth Curry,PHI,05/31/2021,PHI @ WAS,L,28,10,-11
Russell Westbrook,WAS,05/31/2021,WAS vs. PHI,W,42,19,-2
Rui Hachimura,WAS,05/31/2021,WAS vs. PHI,W,42,20,3
Rudy Gobert,UTA,05/31/2021,UTA @ MEM,W,32,17,4
Royce O'Neale,UTA,05/31/2021,UTA @ MEM,W,35,9,5
Robin Lopez,WAS,05/31/2021,WAS vs. PHI,W,19,16,-8
Raul Neto,WAS,05/31/2021,WAS vs. PHI,W,22,11,5
Mike Scott,PHI,05/31/2021,PHI @ WAS,L,17,0,5
Mike Conley,UTA,05/31/2021,UTA @ MEM,W,32,11,6
Matisse Thybulle,PHI,05/31/2021,PHI @ WAS,L,15,8,-9
Kyle Anderson,MEM,05/31/2021,MEM vs. UTA,L,24,4,-3
Jordan Clarkson,UTA,05/31/2021,UTA @ MEM,W,22,24,0
Jonas Valanciunas,MEM,05/31/2021,MEM vs. UTA,L,35,14,-1
Joel Embiid,PHI,05/31/2021,PHI @ WAS,L,11,8,2
Joe Ingles,UTA,05/31/2021,UTA @ MEM,W,24,2,3
Jaren Jackson Jr.,MEM,05/31/2021,MEM vs. UTA,L,26,21,-3
Ja Morant,MEM,05/31/2021,MEM vs. UTA,L,43,23,-9
Ish Smith,WAS,05/31/2021,WAS vs. PHI,W,20,2,2
Isaac Bonga,WAS,05/31/2021,WAS vs. PHI,W,0,0,-2
Grayson Allen,MEM,05/31/2021,MEM vs. UTA,L,29,8,-10
Georges Niang,UTA,05/31/2021,UTA @ MEM,W,12,6,4
George Hill,PHI,05/31/2021,PHI @ WAS,L,22,14,2
Furkan Korkmaz,PHI,05/31/2021,PHI @ WAS,L,11,7,4
Dwight Howard,PHI,05/31/2021,PHI @ WAS,L,14,1,-10
Donovan Mitchell,UTA,05/31/2021,UTA @ MEM,W,35,30,3
Dillon Brooks,MEM,05/31/2021,MEM vs. UTA,L,37,21,2
Desmond Bane,MEM,05/31/2021,MEM vs. UTA,L,18,7,-11
Derrick Favors,UTA,05/31/2021,UTA @ MEM,W,16,8,3
De'Anthony Melton,MEM,05/31/2021,MEM vs. UTA,L,23,15,-2
Davis Bertans,WAS,05/31/2021,WAS vs. PHI,W,23,15,-5
Danny Green,PHI,05/31/2021,PHI @ WAS,L,31,11,-7
Daniel Gafford,WAS,05/31/2021,WAS vs. PHI,W,26,12,9
Bradley Beal,WAS,05/31/2021,WAS vs. PHI,W,43,27,4
Bojan Bogdanovic,UTA,05/31/2021,UTA @ MEM,W,33,13,7
Ben Simmons,PHI,05/31/2021,PHI @ WAS,L,25,13,4
Anthony Gill,WAS,05/31/2021,WAS vs. PHI,W,2,0,-1
Alex Len,WAS,05/31/2021,WAS vs. PHI,W,1,0,-2
Yogi Ferrell,LAC,05/30/2021,LAC @ DAL,W,3,0,3
Willie Cauley-Stein,DAL,05/30/2021,DAL vs. LAC,L,5,0,-6
Wesley Matthews,LAL,05/30/2021,LAL vs. PHX,L,25,6,-15
Tyler Johnson,BKN,05/30/2021,BKN @ BOS,W,16,2,5
Tristan Thompson,BOS,05/30/2021,BOS vs. BKN,L,23,5,-15
Trey Burke,DAL,05/30/2021,DAL vs. LAC,L,9,1,-8
Tremont Waters,BOS,05/30/2021,BOS vs. BKN,L,1,1,1
Trae Young,ATL,05/30/2021,ATL vs. NYK,W,33,27,17
Torrey Craig,PHX,05/30/2021,PHX @ LAL,W,11,5,-7
Timothe Luwawu-Cabarrot,BKN,05/30/2021,BKN @ BOS,W,1,0,0
Tim Hardaway Jr.,DAL,05/30/2021,DAL vs. LAC,L,25,4,-7
Terance Mann,LAC,05/30/2021,LAC @ DAL,W,15,1,0
Taj Gibson,NYK,05/30/2021,NYK @ ATL,L,24,6,-8
Tacko Fall,BOS,05/30/2021,BOS vs. BKN,L,1,0,1
Solomon Hill,ATL,05/30/2021,ATL vs. NYK,W,7,3,-10
Skylar Mays,ATL,05/30/2021,ATL vs. NYK,W,3,0,-9
Semi Ojeleye,BOS,05/30/2021,BOS vs. BKN,L,5,1,-5
Romeo Langford,BOS,05/30/2021,BOS vs. BKN,L,26,9,-13
Reggie Jackson,LAC,05/30/2021,LAC @ DAL,W,31,15,18
Reggie Bullock,NYK,05/30/2021,NYK @ ATL,L,34,0,-16
Rajon Rondo,LAC,05/30/2021,LAC @ DAL,W,20,7,14
RJ Barrett,NYK,05/30/2021,NYK @ ATL,L,36,21,-7
Payton Pritchard,BOS,05/30/2021,BOS vs. BKN,L,24,12,-1
Paul George,LAC,05/30/2021,LAC @ DAL,W,35,20,19
Patrick Beverley,LAC,05/30/2021,LAC @ DAL,W,5,3,-1
Onyeka Okongwu,ATL,05/30/2021,ATL vs. NYK,W,11,2,-8
Obi Toppin,NYK,05/30/2021,NYK @ ATL,L,19,13,-3
Nicolo Melli,DAL,05/30/2021,DAL vs. LAC,L,4,0,-1
Nicolas Batum,LAC,05/30/2021,LAC @ DAL,W,36,10,27
Nic Claxton,BKN,05/30/2021,BKN @ BOS,W,8,0,14
Nerlens Noel,NYK,05/30/2021,NYK @ ATL,L,15,1,-15
Nathan Knight,ATL,05/30/2021,ATL vs. NYK,W,3,0,-9
Montrezl Harrell,LAL,05/30/2021,LAL vs. PHX,L,5,0,2
Mike James,BKN,05/30/2021,BKN @ BOS,W,1,0,-1
Mikal Bridges,PHX,05/30/2021,PHX @ LAL,W,34,11,1
Maxi Kleber,DAL,05/30/2021,DAL vs. LAC,L,32,0,-25
Markieff Morris,LAL,05/30/2021,LAL vs. PHX,L,8,3,-2
Marcus Smart,BOS,05/30/2021,BOS vs. BKN,L,34,16,-9
Marcus Morris Sr.,LAC,05/30/2021,LAC @ DAL,W,29,9,7
Marc Gasol,LAL,05/30/2021,LAL vs. PHX,L,23,12,1
Luke Kornet,BOS,05/30/2021,BOS vs. BKN,L,1,0,1
Luke Kennard,LAC,05/30/2021,LAC @ DAL,W,4,0,1
Luka Doncic,DAL,05/30/2021,DAL vs. LAC,L,36,19,-16
Lou Williams,ATL,05/30/2021,ATL vs. NYK,W,11,0,11
LeBron James,LAL,05/30/2021,LAL vs. PHX,L,38,25,6
Landry Shamet,BKN,05/30/2021,BKN @ BOS,W,13,5,6
Kyrie Irving,BKN,05/30/2021,BKN @ BOS,W,41,39,15
Kyle Kuzma,LAL,05/30/2021,LAL vs. PHX,L,25,11,-13
Kristaps Porzingis,DAL,05/30/2021,DAL vs. LAC,L,28,18,-21
