TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
MIA,11/27/2019,MIA @ HOU,L,240,108,-9
MEM,11/27/2019,MEM vs. LAC,L,239,119,-2
LAL,11/27/2019,LAL @ NOP,W,240,114,4
LAC,11/27/2019,LAC @ MEM,W,241,121,2
IND,11/27/2019,IND vs. UTA,W,241,121,19
HOU,11/27/2019,HOU vs. MIA,W,239,117,9
GSW,11/27/2019,GSW vs. CHI,W,240,104,14
DET,11/27/2019,DET @ CHA,L,241,101,-1
CLE,11/27/2019,CLE vs. ORL,L,240,104,-12
CHI,11/27/2019,CHI @ GSW,L,240,90,-14
CHA,11/27/2019,CHA vs. DET,W,239,102,1
BOS,11/27/2019,BOS vs. BKN,W,239,121,11
BKN,11/27/2019,BKN @ BOS,L,240,110,-11
ATL,11/27/2019,ATL @ MIL,L,239,102,-9
WAS,11/29/2019,WAS @ LAL,L,239,103,-22
UTA,11/29/2019,UTA @ MEM,W,240,103,9
TOR,11/29/2019,TOR @ ORL,W,241,90,7
SAS,11/29/2019,SAS vs. LAC,W,240,107,10
POR,11/29/2019,POR vs. CHI,W,241,107,4
PHX,11/29/2019,PHX vs. DAL,L,240,113,-7
PHI,11/29/2019,PHI @ NYK,W,241,101,6
ORL,11/29/2019,ORL vs. TOR,L,239,83,-7
OKC,11/29/2019,OKC vs. NOP,W,239,109,5
NYK,11/29/2019,NYK vs. PHI,L,240,95,-6
NOP,11/29/2019,NOP @ OKC,L,239,104,-5
MIL,11/29/2019,MIL @ CLE,W,239,119,9
MIA,11/29/2019,MIA vs. GSW,W,241,122,17
MEM,11/29/2019,MEM vs. UTA,L,238,94,-9
LAL,11/29/2019,LAL vs. WAS,W,240,125,22
LAC,11/29/2019,LAC @ SAS,L,242,97,-10
IND,11/29/2019,IND vs. ATL,W,264,105,1
GSW,11/29/2019,GSW @ MIA,L,239,105,-17
DET,11/29/2019,DET vs. CHA,L,240,107,-3
DAL,11/29/2019,DAL @ PHX,W,240,120,7
CLE,11/29/2019,CLE vs. MIL,L,241,110,-9
CHI,11/29/2019,CHI @ POR,L,239,103,-4
CHA,11/29/2019,CHA @ DET,W,241,110,3
BOS,11/29/2019,BOS @ BKN,L,242,107,-5
BKN,11/29/2019,BKN vs. BOS,W,240,112,5
ATL,11/29/2019,ATL @ IND,L,266,104,-1
SAC,11/30/2019,SAC vs. DEN,W,265,100,3
PHI,11/30/2019,PHI vs. IND,W,240,119,3
MIL,11/30/2019,MIL vs. CHA,W,241,137,41
IND,11/30/2019,IND @ PHI,L,240,116,-3
HOU,11/30/2019,HOU vs. ATL,W,241,158,47
DEN,11/30/2019,DEN @ SAC,L,265,97,-3
CHA,11/30/2019,CHA @ MIL,L,241,96,-41
ATL,11/30/2019,ATL @ HOU,L,239,111,-47
WAS,12/01/2019,WAS @ LAC,L,240,125,-25
UTA,12/01/2019,UTA @ TOR,L,241,110,-20
TOR,12/01/2019,TOR vs. UTA,W,242,130,20
SAS,12/01/2019,SAS @ DET,L,240,98,-34
ORL,12/01/2019,ORL vs. GSW,W,239,100,4
OKC,12/01/2019,OKC @ NOP,W,238,107,3
NYK,12/01/2019,NYK vs. BOS,L,242,104,-9
NOP,12/01/2019,NOP vs. OKC,L,239,104,-3
MIN,12/01/2019,MIN vs. MEM,L,241,107,-8
MIA,12/01/2019,MIA @ BKN,W,240,109,3
MEM,12/01/2019,MEM @ MIN,W,240,115,8
LAL,12/01/2019,LAL vs. DAL,L,239,100,-14
LAC,12/01/2019,LAC vs. WAS,W,240,150,25
GSW,12/01/2019,GSW @ ORL,L,240,96,-4
DET,12/01/2019,DET vs. SAS,W,242,132,34
DAL,12/01/2019,DAL @ LAL,W,241,114,14
BOS,12/01/2019,BOS @ NYK,W,239,113,9
BKN,12/01/2019,BKN vs. MIA,L,240,106,-3
UTA,12/02/2019,UTA @ PHI,L,241,94,-9
SAC,12/02/2019,SAC vs. CHI,L,239,106,-7
PHX,12/02/2019,PHX @ CHA,W,240,109,5
PHI,12/02/2019,PHI vs. UTA,W,241,103,9
NYK,12/02/2019,NYK @ MIL,L,240,88,-44
MIL,12/02/2019,MIL vs. NYK,W,240,132,44
MEM,12/02/2019,MEM vs. IND,L,240,104,-13
IND,12/02/2019,IND @ MEM,W,240,117,13
GSW,12/02/2019,GSW @ ATL,L,241,79,-25
CHI,12/02/2019,CHI @ SAC,W,240,113,7
CHA,12/02/2019,CHA vs. PHX,L,240,104,-5
ATL,12/02/2019,ATL vs. GSW,W,241,104,25
WAS,12/03/2019,WAS vs. ORL,L,240,120,-7
TOR,12/03/2019,TOR vs. MIA,L,265,110,-11
SAS,12/03/2019,SAS vs. HOU,W,291,135,2
POR,12/03/2019,POR @ LAC,L,241,97,-20
ORL,12/03/2019,ORL @ WAS,W,239,127,7
NOP,12/03/2019,NOP vs. DAL,L,241,97,-21
MIA,12/03/2019,MIA @ TOR,W,265,121,11
LAL,12/03/2019,LAL @ DEN,W,240,105,9
LAC,12/03/2019,LAC vs. POR,W,239,117,20
HOU,12/03/2019,HOU @ SAS,L,290,133,-2
DET,12/03/2019,DET @ CLE,W,241,127,33
DEN,12/03/2019,DEN vs. LAL,L,239,96,-9
DAL,12/03/2019,DAL @ NOP,W,239,118,21
CLE,12/03/2019,CLE vs. DET,L,240,94,-33
UTA,12/04/2019,UTA vs. LAL,L,240,96,-25
SAC,12/04/2019,SAC @ POR,L,240,116,-11
POR,12/04/2019,POR vs. SAC,W,240,127,11
PHX,12/04/2019,PHX @ ORL,L,240,114,-14
ORL,12/04/2019,ORL vs. PHX,W,242,128,14
OKC,12/04/2019,OKC vs. IND,L,239,100,-7
MIN,12/04/2019,MIN @ DAL,L,241,114,-7
MIL,12/04/2019,MIL @ DET,W,240,127,24
MIA,12/04/2019,MIA @ BOS,L,239,93,-19
MEM,12/04/2019,MEM @ CHI,L,242,99,-7
LAL,12/04/2019,LAL @ UTA,W,241,121,25
IND,12/04/2019,IND @ OKC,W,239,107,7
GSW,12/04/2019,GSW @ CHA,L,240,91,-15
DET,12/04/2019,DET vs. MIL,L,241,103,-24
DAL,12/04/2019,DAL vs. MIN,W,240,121,7
CHI,12/04/2019,CHI vs. MEM,W,241,106,7
CHA,12/04/2019,CHA vs. GSW,W,241,106,15
BOS,12/04/2019,BOS vs. MIA,W,238,112,19
BKN,12/04/2019,BKN @ ATL,W,240,130,12
ATL,12/04/2019,ATL vs. BKN,L,239,118,-12
WAS,12/05/2019,WAS vs. PHI,W,240,119,6
TOR,12/05/2019,TOR vs. HOU,L,239,109,-10
PHX,12/05/2019,PHX @ NOP,W,265,139,7
PHI,12/05/2019,PHI @ WAS,L,241,113,-6
NYK,12/05/2019,NYK vs. DEN,L,240,92,-37
NOP,12/05/2019,NOP vs. PHX,L,264,132,-7
HOU,12/05/2019,HOU @ TOR,W,240,119,10
DEN,12/05/2019,DEN @ NYK,W,241,129,37
WAS,12/06/2019,WAS @ MIA,L,241,103,-9
SAS,12/06/2019,SAS vs. SAC,W,265,105,1
SAC,12/06/2019,SAC @ SAS,L,265,104,-1
POR,12/06/2019,POR vs. LAL,L,242,113,-23
ORL,12/06/2019,ORL @ CLE,W,240,93,6
OKC,12/06/2019,OKC vs. MIN,W,265,139,12
MIN,12/06/2019,MIN @ OKC,L,264,127,-12
MIL,12/06/2019,MIL vs. LAC,W,240,119,28
MIA,12/06/2019,MIA vs. WAS,W,241,112,9
LAL,12/06/2019,LAL @ POR,W,240,136,23
LAC,12/06/2019,LAC @ MIL,L,240,91,-28
IND,12/06/2019,IND @ DET,L,240,101,-7
GSW,12/06/2019,GSW @ CHI,W,240,100,2
DET,12/06/2019,DET vs. IND,W,241,108,7
DEN,12/06/2019,DEN @ BOS,L,241,95,-13
CLE,12/06/2019,CLE vs. ORL,L,240,87,-6
CHI,12/06/2019,CHI vs. GSW,L,240,98,-2
CHA,12/06/2019,CHA vs. BKN,L,242,104,-7
BOS,12/06/2019,BOS vs. DEN,W,242,108,13
BKN,12/06/2019,BKN @ CHA,W,240,111,7
UTA,12/07/2019,UTA vs. MEM,W,241,126,14
PHX,12/07/2019,PHX @ HOU,L,241,109,-6
PHI,12/07/2019,PHI vs. CLE,W,240,141,47
NYK,12/07/2019,NYK vs. IND,L,238,103,-1
NOP,12/07/2019,NOP @ DAL,L,239,84,-46
MEM,12/07/2019,MEM @ UTA,L,241,112,-14
IND,12/07/2019,IND @ NYK,W,239,104,1
HOU,12/07/2019,HOU vs. PHX,W,239,115,6
DAL,12/07/2019,DAL vs. NOP,W,241,130,46
CLE,12/07/2019,CLE @ PHI,L,240,94,-47
WAS,12/08/2019,WAS vs. LAC,L,240,119,-16
TOR,12/08/2019,TOR @ PHI,L,239,104,-6
SAC,12/08/2019,SAC @ DAL,W,241,110,4
POR,12/08/2019,POR vs. OKC,L,240,96,-12
PHI,12/08/2019,PHI vs. TOR,W,239,110,6
OKC,12/08/2019,OKC @ POR,W,239,108,12
MIN,12/08/2019,MIN @ LAL,L,240,125,-17
MIA,12/08/2019,MIA vs. CHI,W,265,110,5
LAL,12/08/2019,LAL vs. MIN,W,238,142,17
LAC,12/08/2019,LAC @ WAS,W,241,135,16
DEN,12/08/2019,DEN @ BKN,L,240,102,-3
DAL,12/08/2019,DAL vs. SAC,L,239,106,-4
CHI,12/08/2019,CHI @ MIA,L,266,105,-5
CHA,12/08/2019,CHA vs. ATL,L,242,107,-15
BKN,12/08/2019,BKN vs. DEN,W,241,105,3
ATL,12/08/2019,ATL @ CHA,W,241,122,15
UTA,12/09/2019,UTA vs. OKC,L,241,90,-14
TOR,12/09/2019,TOR @ CHI,W,241,93,1
SAC,12/09/2019,SAC @ HOU,W,239,119,1
PHX,12/09/2019,PHX vs. MIN,W,238,125,16
ORL,12/09/2019,ORL @ MIL,L,239,101,-9
OKC,12/09/2019,OKC @ UTA,W,239,104,14
NOP,12/09/2019,NOP vs. DET,L,239,103,-2
MIN,12/09/2019,MIN @ PHX,L,241,109,-16
MIL,12/09/2019,MIL vs. ORL,W,240,110,9
MEM,12/09/2019,MEM @ GSW,W,240,110,8
LAC,12/09/2019,LAC @ IND,W,241,110,11
IND,12/09/2019,IND vs. LAC,L,242,99,-11
HOU,12/09/2019,HOU vs. SAC,L,241,118,-1
GSW,12/09/2019,GSW vs. MEM,L,239,102,-8
DET,12/09/2019,DET @ NOP,W,240,105,2
CLE,12/09/2019,CLE @ BOS,L,243,88,-22
CHI,12/09/2019,CHI vs. TOR,L,241,92,-1
BOS,12/09/2019,BOS vs. CLE,W,239,110,22
WAS,12/10/2019,WAS @ CHA,L,240,107,-7
POR,12/10/2019,POR vs. NYK,W,239,115,28
PHI,12/10/2019,PHI vs. DEN,W,240,97,5
NYK,12/10/2019,NYK @ POR,L,240,87,-28
MIA,12/10/2019,MIA vs. ATL,W,267,135,14
DEN,12/10/2019,DEN @ PHI,L,240,92,-5
CHA,12/10/2019,CHA vs. WAS,W,241,114,7
ATL,12/10/2019,ATL @ MIA,L,264,121,-14
UTA,12/11/2019,UTA @ MIN,W,240,127,11
TOR,12/11/2019,TOR vs. LAC,L,240,92,-20
SAC,12/11/2019,SAC vs. OKC,W,238,94,1
PHX,12/11/2019,PHX vs. MEM,L,240,108,-7
ORL,12/11/2019,ORL vs. LAL,L,241,87,-9
OKC,12/11/2019,OKC @ SAC,L,240,93,-1
NYK,12/11/2019,NYK @ GSW,W,265,124,2
NOP,12/11/2019,NOP @ MIL,L,240,112,-15
MIN,12/11/2019,MIN vs. UTA,L,240,116,-11
MIL,12/11/2019,MIL vs. NOP,W,241,127,15
MEM,12/11/2019,MEM @ PHX,W,241,115,7
LAL,12/11/2019,LAL @ ORL,W,240,96,9
LAC,12/11/2019,LAC @ TOR,W,238,112,20
IND,12/11/2019,IND vs. BOS,W,240,122,5
HOU,12/11/2019,HOU @ CLE,W,241,116,6
GSW,12/11/2019,GSW vs. NYK,L,264,122,-2
CLE,12/11/2019,CLE vs. HOU,L,241,110,-6
CHI,12/11/2019,CHI vs. ATL,W,240,136,34
CHA,12/11/2019,CHA @ BKN,W,240,113,5
BOS,12/11/2019,BOS @ IND,L,241,117,-5
BKN,12/11/2019,BKN vs. CHA,L,239,108,-5
ATL,12/11/2019,ATL @ CHI,L,241,102,-34
SAS,12/12/2019,SAS vs. CLE,L,265,109,-8
POR,12/12/2019,POR @ DEN,L,241,99,-15
PHI,12/12/2019,PHI @ BOS,W,240,115,6
DET,12/12/2019,DET vs. DAL,L,241,111,-11
DEN,12/12/2019,DEN vs. POR,W,240,114,15
DAL,12/12/2019,DAL @ DET,W,241,122,11
CLE,12/12/2019,CLE @ SAS,W,266,117,8
BOS,12/12/2019,BOS vs. PHI,L,240,109,-6
UTA,12/13/2019,UTA vs. GSW,W,240,114,8
SAC,12/13/2019,SAC vs. NYK,L,240,101,-2
PHI,12/13/2019,PHI vs. NOP,W,242,116,7
ORL,12/13/2019,ORL vs. HOU,L,239,107,-23
NYK,12/13/2019,NYK @ SAC,W,240,103,2
NOP,12/13/2019,NOP @ PHI,L,241,109,-7
MIN,12/13/2019,MIN vs. LAC,L,240,117,-7
MIL,12/13/2019,MIL @ MEM,W,241,127,13
MIA,12/13/2019,MIA vs. LAL,L,239,110,-3
MEM,12/13/2019,MEM vs. MIL,L,240,114,-13
LAL,12/13/2019,LAL @ MIA,W,240,113,3
LAC,12/13/2019,LAC @ MIN,W,239,124,7
IND,12/13/2019,IND @ ATL,W,240,110,10
HOU,12/13/2019,HOU @ ORL,W,241,130,23
GSW,12/13/2019,GSW @ UTA,L,240,106,-8
CHI,12/13/2019,CHI vs. CHA,L,241,73,-10
CHA,12/13/2019,CHA @ CHI,W,240,83,10
ATL,12/13/2019,ATL vs. IND,L,239,100,-10
WAS,12/14/2019,WAS @ MEM,L,239,111,-17
TOR,12/14/2019,TOR vs. BKN,W,241,110,8
SAS,12/14/2019,SAS @ PHX,W,266,121,2
PHX,12/14/2019,PHX vs. SAS,L,266,119,-2
OKC,12/14/2019,OKC @ DEN,L,240,102,-8
MIL,12/14/2019,MIL vs. CLE,W,240,125,17
MIA,12/14/2019,MIA @ DAL,W,265,122,4
MEM,12/14/2019,MEM vs. WAS,W,239,128,17
LAC,12/14/2019,LAC @ CHI,L,240,106,-3
HOU,12/14/2019,HOU vs. DET,L,239,107,-8
DET,12/14/2019,DET @ HOU,W,239,115,8
DEN,12/14/2019,DEN vs. OKC,W,240,110,8
DAL,12/14/2019,DAL vs. MIA,L,265,118,-4
CLE,12/14/2019,CLE @ MIL,L,239,108,-17
CHI,12/14/2019,CHI vs. LAC,W,241,109,3
BKN,12/14/2019,BKN @ TOR,L,241,102,-8
SAC,12/15/2019,SAC @ GSW,W,239,100,21
PHI,12/15/2019,PHI @ BKN,L,241,89,-20
ORL,12/15/2019,ORL @ NOP,W,241,130,11
NYK,12/15/2019,NYK @ DEN,L,240,105,-6
NOP,12/15/2019,NOP vs. ORL,L,241,119,-11
LAL,12/15/2019,LAL @ ATL,W,240,101,5
IND,12/15/2019,IND vs. CHA,W,240,107,22
GSW,12/15/2019,GSW vs. SAC,L,240,79,-21
DEN,12/15/2019,DEN vs. NYK,W,241,111,6
CHA,12/15/2019,CHA @ IND,L,241,85,-22
BKN,12/15/2019,BKN vs. PHI,W,240,109,20
ATL,12/15/2019,ATL vs. LAL,L,238,96,-5
WAS,12/16/2019,WAS @ DET,W,242,133,14
TOR,12/16/2019,TOR vs. CLE,W,242,133,20
SAS,12/16/2019,SAS @ HOU,L,241,107,-2
POR,12/16/2019,POR @ PHX,W,239,111,1
PHX,12/16/2019,PHX vs. POR,L,240,110,-1
OKC,12/16/2019,OKC vs. CHI,W,240,109,3
MIL,12/16/2019,MIL vs. DAL,L,240,116,-4
MIA,12/16/2019,MIA @ MEM,L,240,111,-7
MEM,12/16/2019,MEM vs. MIA,W,241,118,7
HOU,12/16/2019,HOU vs. SAS,W,238,109,2
DET,12/16/2019,DET vs. WAS,L,242,119,-14
DAL,12/16/2019,DAL @ MIL,W,241,120,4
CLE,12/16/2019,CLE @ TOR,L,240,113,-20
CHI,12/16/2019,CHI @ OKC,L,239,106,-3
UTA,12/17/2019,UTA vs. ORL,W,241,109,7
SAC,12/17/2019,SAC @ CHA,L,239,102,-8
PHX,12/17/2019,PHX @ LAC,L,241,99,-21
ORL,12/17/2019,ORL @ UTA,L,240,102,-7
NYK,12/17/2019,NYK vs. ATL,W,242,143,23
NOP,12/17/2019,NOP vs. BKN,L,264,101,-7
LAL,12/17/2019,LAL @ IND,L,240,102,-3
LAC,12/17/2019,LAC vs. PHX,W,241,120,21
IND,12/17/2019,IND vs. LAL,W,240,105,3
CHA,12/17/2019,CHA vs. SAC,W,239,110,8
BKN,12/17/2019,BKN @ NOP,W,265,108,7
ATL,12/17/2019,ATL @ NYK,L,240,120,-23
WAS,12/18/2019,WAS vs. CHI,L,266,109,-1
TOR,12/18/2019,TOR @ DET,W,239,112,13
POR,12/18/2019,POR vs. GSW,W,239,122,10
PHI,12/18/2019,PHI vs. MIA,L,240,104,-4
ORL,12/18/2019,ORL @ DEN,L,238,104,-9
OKC,12/18/2019,OKC vs. MEM,W,240,126,4
NOP,12/18/2019,NOP @ MIN,W,241,107,8
MIN,12/18/2019,MIN vs. NOP,L,242,99,-8
MIA,12/18/2019,MIA @ PHI,W,241,108,4
MEM,12/18/2019,MEM @ OKC,L,240,122,-4
GSW,12/18/2019,GSW @ POR,L,240,112,-10
DET,12/18/2019,DET vs. TOR,L,239,99,-13
DEN,12/18/2019,DEN vs. ORL,W,241,113,9
DAL,12/18/2019,DAL vs. BOS,L,239,103,-6
CLE,12/18/2019,CLE vs. CHA,W,240,100,2
CHI,12/18/2019,CHI @ WAS,W,266,110,1
CHA,12/18/2019,CHA @ CLE,L,242,98,-2
BOS,12/18/2019,BOS @ DAL,W,240,109,6
UTA,12/19/2019,UTA @ ATL,W,239,111,5
SAS,12/19/2019,SAS vs. BKN,W,242,118,13
MIL,12/19/2019,MIL vs. LAL,W,241,111,7
LAL,12/19/2019,LAL @ MIL,L,241,104,-7
LAC,12/19/2019,LAC vs. HOU,L,240,117,-5
HOU,12/19/2019,HOU @ LAC,W,241,122,5
BKN,12/19/2019,BKN @ SAS,L,240,105,-13
ATL,12/19/2019,ATL vs. UTA,L,240,106,-5
WAS,12/20/2019,WAS @ TOR,L,241,118,-4
TOR,12/20/2019,TOR vs. WAS,W,242,122,4
SAC,12/20/2019,SAC @ IND,L,239,105,-14
POR,12/20/2019,POR vs. ORL,W,239,118,15
PHX,12/20/2019,PHX @ OKC,L,240,108,-18
PHI,12/20/2019,PHI vs. DAL,L,241,98,-19
ORL,12/20/2019,ORL @ POR,L,240,103,-15
OKC,12/20/2019,OKC vs. PHX,W,241,126,18
NYK,12/20/2019,NYK @ MIA,L,240,114,-15
NOP,12/20/2019,NOP @ GSW,L,240,102,-4
MIN,12/20/2019,MIN @ DEN,L,239,100,-9
MIA,12/20/2019,MIA vs. NYK,W,240,129,15
MEM,12/20/2019,MEM @ CLE,L,240,107,-7
IND,12/20/2019,IND vs. SAC,W,241,119,14
GSW,12/20/2019,GSW vs. NOP,W,242,106,4
DET,12/20/2019,DET @ BOS,L,241,93,-21
DEN,12/20/2019,DEN vs. MIN,W,240,109,9
DAL,12/20/2019,DAL @ PHI,W,240,117,19
CLE,12/20/2019,CLE vs. MEM,W,240,114,7
BOS,12/20/2019,BOS vs. DET,W,240,114,21
WAS,12/21/2019,WAS @ PHI,L,239,108,-17
UTA,12/21/2019,UTA @ CHA,W,241,114,7
SAS,12/21/2019,SAS vs. LAC,L,241,109,-25
SAC,12/21/2019,SAC @ MEM,L,241,115,-4
POR,12/21/2019,POR vs. MIN,W,240,113,7
PHX,12/21/2019,PHX vs. HOU,L,241,125,-14
PHI,12/21/2019,PHI vs. WAS,W,240,125,17
NYK,12/21/2019,NYK vs. MIL,L,240,102,-21
MIN,12/21/2019,MIN @ POR,L,241,106,-7
MIL,12/21/2019,MIL @ NYK,W,241,123,21
MEM,12/21/2019,MEM vs. SAC,W,242,119,4
LAC,12/21/2019,LAC @ SAS,W,240,134,25
HOU,12/21/2019,HOU @ PHX,W,240,139,14
DET,12/21/2019,DET vs. CHI,L,240,107,-12
CHI,12/21/2019,CHI @ DET,W,240,119,12
CHA,12/21/2019,CHA vs. UTA,L,241,107,-7
BKN,12/21/2019,BKN vs. ATL,W,240,122,10
ATL,12/21/2019,ATL @ BKN,L,240,112,-10
TOR,12/22/2019,TOR vs. DAL,W,242,110,3
OKC,12/22/2019,OKC vs. LAC,W,241,118,6
MIL,12/22/2019,MIL vs. IND,W,242,117,28
LAL,12/22/2019,LAL vs. DEN,L,240,104,-24
LAC,12/22/2019,LAC @ OKC,L,239,112,-6
IND,12/22/2019,IND @ MIL,L,240,89,-28
DEN,12/22/2019,DEN @ LAL,W,241,128,24
DAL,12/22/2019,DAL @ TOR,L,240,107,-3
CHA,12/22/2019,CHA @ BOS,L,240,93,-26
BOS,12/22/2019,BOS vs. CHA,W,239,119,26
WAS,12/23/2019,WAS @ NYK,W,240,121,6
UTA,12/23/2019,UTA @ MIA,L,240,104,-3
TOR,12/23/2019,TOR @ IND,L,266,115,-5
SAS,12/23/2019,SAS @ MEM,W,242,145,30
SAC,12/23/2019,SAC vs. HOU,L,240,104,-9
POR,12/23/2019,POR vs. NOP,L,240,94,-8
PHX,12/23/2019,PHX vs. DEN,L,240,111,-2
PHI,12/23/2019,PHI @ DET,W,240,125,16
ORL,12/23/2019,ORL vs. CHI,W,239,103,8
NYK,12/23/2019,NYK vs. WAS,L,241,115,-6
NOP,12/23/2019,NOP @ POR,W,239,102,8
MIN,12/23/2019,MIN @ GSW,L,240,104,-9
MIA,12/23/2019,MIA vs. UTA,W,240,107,3
MEM,12/23/2019,MEM vs. SAS,L,241,115,-30
IND,12/23/2019,IND vs. TOR,W,265,120,5
HOU,12/23/2019,HOU @ SAC,W,241,113,9
GSW,12/23/2019,GSW vs. MIN,W,239,113,9
DET,12/23/2019,DET vs. PHI,L,239,109,-16
DEN,12/23/2019,DEN @ PHX,W,239,113,2
CLE,12/23/2019,CLE vs. ATL,W,240,121,3
CHI,12/23/2019,CHI @ ORL,L,239,95,-8
ATL,12/23/2019,ATL @ CLE,L,239,118,-3
TOR,12/25/2019,TOR vs. BOS,L,240,102,-16
PHI,12/25/2019,PHI vs. MIL,W,239,121,12
NOP,12/25/2019,NOP @ DEN,W,240,112,12
MIL,12/25/2019,MIL @ PHI,L,239,109,-12
LAL,12/25/2019,LAL vs. LAC,L,238,106,-5
LAC,12/25/2019,LAC @ LAL,W,240,111,5
HOU,12/25/2019,HOU @ GSW,L,240,104,-12
GSW,12/25/2019,GSW vs. HOU,W,239,116,12
DEN,12/25/2019,DEN vs. NOP,L,240,100,-12
BOS,12/25/2019,BOS @ TOR,W,239,118,16
WAS,12/26/2019,WAS @ DET,L,240,102,-30
UTA,12/26/2019,UTA vs. POR,W,241,121,6
SAS,12/26/2019,SAS @ DAL,L,241,98,-4
SAC,12/26/2019,SAC vs. MIN,L,291,104,-1
POR,12/26/2019,POR @ UTA,L,240,115,-6
OKC,12/26/2019,OKC vs. MEM,L,240,97,-13
NYK,12/26/2019,NYK @ BKN,W,239,94,12
MIN,12/26/2019,MIN @ SAC,W,291,105,1
MEM,12/26/2019,MEM @ OKC,W,240,110,13
DET,12/26/2019,DET vs. WAS,W,242,132,30
DAL,12/26/2019,DAL vs. SAS,W,241,102,4
BKN,12/26/2019,BKN vs. NYK,L,241,82,-12
PHX,12/27/2019,PHX @ GSW,L,240,96,-9
PHI,12/27/2019,PHI @ ORL,L,240,97,-1
ORL,12/27/2019,ORL vs. PHI,W,240,98,1
OKC,12/27/2019,OKC @ CHA,W,265,104,2
MIL,12/27/2019,MIL @ ATL,W,239,112,26
MIA,12/27/2019,MIA vs. IND,W,239,113,1
IND,12/27/2019,IND @ MIA,L,239,112,-1
GSW,12/27/2019,GSW vs. PHX,W,239,105,9
CLE,12/27/2019,CLE @ BOS,L,240,117,-12
CHA,12/27/2019,CHA vs. OKC,L,265,102,-2
BOS,12/27/2019,BOS vs. CLE,W,241,129,12
ATL,12/27/2019,ATL vs. MIL,L,239,86,-26
WAS,12/28/2019,WAS vs. NYK,L,239,100,-7
UTA,12/28/2019,UTA @ LAC,W,241,120,13
TOR,12/28/2019,TOR @ BOS,W,240,113,16
SAS,12/28/2019,SAS vs. DET,W,240,136,27
SAC,12/28/2019,SAC vs. PHX,L,240,110,-2
POR,12/28/2019,POR vs. LAL,L,240,120,-8
PHX,12/28/2019,PHX @ SAC,W,241,112,2
PHI,12/28/2019,PHI @ MIA,L,263,116,-1
ORL,12/28/2019,ORL @ MIL,L,240,100,-11
NYK,12/28/2019,NYK @ WAS,W,240,107,7
NOP,12/28/2019,NOP vs. IND,W,240,120,22
MIN,12/28/2019,MIN vs. CLE,L,242,88,-6
MIL,12/28/2019,MIL vs. ORL,W,240,111,11
MIA,12/28/2019,MIA vs. PHI,W,266,117,1
MEM,12/28/2019,MEM @ DEN,L,241,110,-9
LAL,12/28/2019,LAL @ POR,W,241,128,8
LAC,12/28/2019,LAC vs. UTA,L,242,107,-13
IND,12/28/2019,IND @ NOP,L,240,98,-22
HOU,12/28/2019,HOU vs. BKN,W,240,108,10
GSW,12/28/2019,GSW vs. DAL,L,240,121,-20
DET,12/28/2019,DET @ SAS,L,239,109,-27
DEN,12/28/2019,DEN vs. MEM,W,241,119,9
DAL,12/28/2019,DAL @ GSW,W,240,141,20
CLE,12/28/2019,CLE @ MIN,W,240,94,6
CHI,12/28/2019,CHI vs. ATL,W,240,116,35
BOS,12/28/2019,BOS vs. TOR,L,240,97,-16
BKN,12/28/2019,BKN @ HOU,L,240,98,-10
ATL,12/28/2019,ATL @ CHI,L,239,81,-35
TOR,12/29/2019,TOR vs. OKC,L,241,97,-1
SAC,12/29/2019,SAC @ DEN,L,241,115,-5
OKC,12/29/2019,OKC @ TOR,W,241,98,1
NOP,12/29/2019,NOP vs. HOU,W,239,127,15
MEM,12/29/2019,MEM vs. CHA,W,238,117,13
LAL,12/29/2019,LAL vs. DAL,W,238,108,13
HOU,12/29/2019,HOU @ NOP,L,239,112,-15
DEN,12/29/2019,DEN vs. SAC,W,239,120,5
DAL,12/29/2019,DAL @ LAL,L,239,95,-13
CHA,12/29/2019,CHA @ MEM,L,239,104,-13
WAS,12/30/2019,WAS vs. MIA,W,240,123,18
UTA,12/30/2019,UTA vs. DET,W,241,104,23
POR,12/30/2019,POR vs. PHX,L,240,116,-6
PHX,12/30/2019,PHX @ POR,W,240,122,6
ORL,12/30/2019,ORL vs. ATL,L,241,93,-8
MIN,12/30/2019,MIN vs. BKN,W,264,122,7
MIL,12/30/2019,MIL @ CHI,W,240,123,21
MIA,12/30/2019,MIA @ WAS,L,241,105,-18
DET,12/30/2019,DET @ UTA,L,239,81,-23
CHI,12/30/2019,CHI vs. MIL,L,240,102,-21
BKN,12/30/2019,BKN @ MIN,L,265,115,-7
ATL,12/30/2019,ATL @ ORL,W,240,101,8
TOR,12/31/2019,TOR vs. CLE,W,241,117,20
SAS,12/31/2019,SAS vs. GSW,W,264,117,4
SAC,12/31/2019,SAC vs. LAC,L,241,87,-18
PHI,12/31/2019,PHI @ IND,L,240,97,-18
OKC,12/31/2019,OKC vs. DAL,W,240,106,5
LAC,12/31/2019,LAC @ SAC,W,240,105,18
IND,12/31/2019,IND vs. PHI,W,240,115,18
HOU,12/31/2019,HOU vs. DEN,W,241,130,26
GSW,12/31/2019,GSW @ SAS,L,266,113,-4
DEN,12/31/2019,DEN @ HOU,L,241,104,-26
DAL,12/31/2019,DAL @ OKC,L,238,101,-5
CLE,12/31/2019,CLE @ TOR,L,240,97,-20
