,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Philadelphia 76ers,Charlotte Hornets,-0.35396322586271733,0.7700375596086168,0.3570030610066103,-1.141647419666916,-1.3672385045447626,0.2789354932172194,-0.6367219407337726,1,10/27/2018
1,San Antonio Spurs,Los Angeles Lakers,0.35396322586271733,1.2925630464858926,-0.7650065592998778,-1.0390274268878674,-0.03551268842973454,1.411085436275356,-1.000563049724502,1,10/27/2018
2,Cleveland Cavaliers,Indiana Pacers,-2.1237793551763042,-0.3025147555605287,-0.35700306100661017,-2.719429808644789,-1.420507537189363,2.198668005359272,-1.6069648980423836,0,10/27/2018
3,Miami Heat,Portland Trail Blazers,-0.8849080646567936,0.11000536565837349,0.9180078711598538,-0.4233074702135753,-1.9531978636353742,-1.3290455853291123,-1.8798457297854307,1,10/27/2018
4,Detroit Pistons,Boston Celtics,1.4158529034508698,-0.7150348767794308,-0.20400174914663424,0.12827499097381073,2.6279389438003213,2.3299317668732606,1.4250443435470224,0,10/27/2018
5,Milwaukee Bucks,Orlando Magic,2.1237793551763047,1.457571094973456,0.8160069965865362,2.847704799618599,1.9531978636353742,-1.8869165717635557,2.24368683877616,1,10/27/2018
6,Atlanta Hawks,Chicago Bulls,1.0618896775881521,0.935045608096178,1.0710091830198296,1.2699224106407268,-0.4971776380162791,-2.0017723630882944,0.030320092415894062,0,10/27/2018
7,Memphis Grizzlies,Phoenix Suns,0.8849080646567935,-0.6050295111210573,-2.244019240612974,1.0646824250826294,-1.0121116202474216,-2.2478919159270188,-2.24368683877616,1,10/27/2018
8,New Orleans Pelicans,Utah Jazz,1.7698161293135872,0.7425362181940229,-2.9070249253395355,1.1801299169590589,2.5214008785111175,0.9352543007871541,0.6367219407337761,0,10/27/2018
9,Brooklyn Nets,Golden State Warriors,-1.639096999673278,0.9812004073883118,1.4769938426076494,-1.8053357496153795,-1.7337620529362847,0.8761600503479788,-1.677810062112904,0,10/28/2018
10,LA Clippers,Washington Wizards,1.514177366903721,2.1804453497518033,1.0695472653365727,1.3082143113154923,0.5910552453191873,-1.1682134004639724,0.5281994639985034,1,10/28/2018
11,Dallas Mavericks,Utah Jazz,-0.7570886834518604,-0.29981123559087336,-0.8148931545421507,-1.4128714562207316,0.07880736604255943,1.8897569713387798,-1.0253283712912156,0,10/28/2018
12,Oklahoma City Thunder,Phoenix Suns,-0.7570886834518609,2.1259342160080097,-1.6297863090843023,0.43171072273411215,-1.3003215397022134,-1.5633444035620805,-3.386690680931597,1,10/28/2018
13,Philadelphia 76ers,Atlanta Hawks,0.381365586150803,1.4578620377523555,-2.514752271738981,0.14260200931735006,0.9531963279703893,0.8231648241794867,-0.25929714339620064,1,10/29/2018
14,San Antonio Spurs,Dallas Mavericks,1.018246115022644,1.23357557040584,-1.7812828591484449,0.1296381902885001,0.9333380711376713,0.771717022668267,0.09723642877357525,1,10/29/2018
15,Chicago Bulls,Golden State Warriors,-1.998355671430208,-0.8691100609677516,-0.20956268931158106,-2.385342701308401,-1.9659674264389304,1.4576877094845042,-1.717843574999829,0,10/29/2018
16,New York Knicks,Brooklyn Nets,-0.6330668730103329,-0.8971458693860644,-2.9338776503621444,-0.7130100465867504,-1.1120623826321205,-0.017149267170404936,-2.009552861320551,1,10/29/2018
17,Miami Heat,Sacramento Kings,0.38136558615080296,2.6353659913215695,0.3143440339673733,1.1408160745388005,-0.0992912841635823,-1.509135510995724,-1.3288978599055246,0,10/29/2018
18,Milwaukee Bucks,Toronto Raptors,0.0,1.5419694630073002,1.1525947912136991,0.5704080372694003,-0.5957477049814938,-1.3376428392916624,0.0,1,10/29/2018
19,Indiana Pacers,Portland Trail Blazers,0.25551494272103825,-1.7942917387721309,0.9954227742300135,0.5444803992117001,-0.3177321093234622,-1.0804038317355733,0.388945715094301,0,10/29/2018
20,Denver Nuggets,New Orleans Pelicans,0.0,1.009289103059324,0.9430321019021173,0.5055889421251504,-1.3305032077920032,-1.8864193887446525,-0.713067144339548,1,10/29/2018
21,Minnesota Timberwolves,Los Angeles Lakers,0.0,0.05607161683662987,0.3667347062952677,-0.5963356753271003,-0.8737633006395225,0.06859706868162463,-1.134425002358374,1,10/29/2018
22,Boston Celtics,Detroit Pistons,-0.525522399960721,0.9202059050602089,0.43502255073304114,0.8714847039073522,-1.6776948496376707,-2.6289981367920006,-0.6248516577416633,1,10/30/2018
23,Orlando Magic,Sacramento Kings,-0.940408505192869,0.891449470527077,-0.7457529441137862,-1.2200785854702934,-1.9573106579106136,0.03552700184854102,-2.532293560321474,0,10/30/2018
24,Houston Rockets,Portland Trail Blazers,-1.845255344222983,-2.7893741497137543,0.0,-1.930673805579365,-1.5778320609687588,0.959229049910596,-1.4799118209670934,0,10/30/2018
25,Cleveland Cavaliers,Atlanta Hawks,-1.315781648021956,0.34507721439757677,-0.8700451014660824,-0.9653369027896828,1.3381613681633797,2.4691266284735667,-0.1644346467741219,1,10/30/2018
26,Charlotte Hornets,Miami Heat,-0.28054203306173836,-1.9554375482529411,-2.610135304398249,0.26814913966380066,1.038573002156653,0.6572495341980007,0.9208340219350828,1,10/30/2018
27,Toronto Raptors,Philadelphia 76ers,1.1300707247275659,-0.7189108633282876,0.1864382360284469,0.7776325050250221,1.4180515990985052,0.24868901293978496,1.0194948099995522,1,10/30/2018
28,Memphis Grizzlies,Washington Wizards,1.7109112720525732,0.4888593870632363,0.37287647205689256,1.541857553066854,-0.2796158082729461,-2.2914916192308663,-0.23020850548377064,1,10/30/2018
