TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,11/19/2018,BOS @ CHA,L,239,112,45,89,50.6,9,32,28.1,13,18,72.2,8,33,41,31,9,6,12,22,-5
DET,11/19/2018,DET vs. CLE,W,240,113,41,89,46.1,13,38,34.2,18,19,94.7,13,37,50,26,5,4,10,27,11
DEN,11/19/2018,DEN @ MIL,L,240,98,40,94,42.6,12,41,29.3,6,9,66.7,13,30,43,30,6,4,17,20,-6
SAS,11/19/2018,SAS @ NOP,L,239,126,45,94,47.9,12,24,50,24,30,80,18,26,44,22,7,0,15,20,-14
CHA,11/19/2018,CHA vs. BOS,W,241,117,43,89,48.3,15,41,36.6,16,22,72.7,8,36,44,18,5,3,13,16,5
DAL,11/19/2018,DAL @ MEM,L,241,88,30,88,34.1,10,32,31.3,18,21,85.7,7,36,43,17,8,4,9,19,-10
IND,11/19/2018,IND vs. UTA,W,240,121,49,93,52.7,12,25,48,11,17,64.7,11,33,44,35,13,3,9,17,27
TOR,11/20/2018,TOR @ ORL,W,240,93,39,87,44.8,9,34,26.5,6,8,75,6,37,43,23,7,5,16,19,2
ORL,11/20/2018,ORL vs. TOR,L,241,91,34,84,40.5,8,30,26.7,15,19,78.9,11,38,49,24,5,4,14,11,-2
LAC,11/20/2018,LAC @ WAS,L,241,118,46,89,51.7,11,27,40.7,15,18,83.3,7,37,44,20,6,4,17,28,-7
WAS,11/20/2018,WAS vs. LAC,W,240,125,40,93,43,13,39,33.3,32,39,82.1,11,33,44,27,11,8,7,20,7
MIA,11/20/2018,MIA vs. BKN,L,239,92,36,100,36,7,32,21.9,13,20,65,18,34,52,18,5,6,14,24,-12
BKN,11/20/2018,BKN @ MIA,W,240,104,38,88,43.2,8,31,25.8,20,26,76.9,13,40,53,17,6,4,11,21,12
NYK,11/20/2018,NYK vs. POR,L,242,114,42,83,50.6,13,29,44.8,17,22,77.3,10,32,42,22,8,5,15,15,-4
POR,11/20/2018,POR @ NYK,W,240,118,45,95,47.4,16,35,45.7,12,17,70.6,14,29,43,25,8,4,11,19,4
IND,11/21/2018,IND @ CHA,L,239,109,41,84,48.8,11,33,33.3,16,17,94.1,10,27,37,26,5,7,14,19,-18
OKC,11/21/2018,OKC @ GSW,W,239,123,51,106,48.1,13,35,37.1,8,15,53.3,18,43,61,29,10,5,10,23,28
DEN,11/21/2018,DEN @ MIN,W,241,103,42,89,47.2,14,35,40,5,6,83.3,9,31,40,29,12,4,13,22,2
MIL,11/21/2018,MIL vs. POR,W,240,143,57,108,52.8,15,45,33.3,14,17,82.4,13,46,59,34,8,2,14,23,43
NYK,11/21/2018,NYK @ BOS,W,239,117,44,89,49.4,15,30,50,14,17,82.4,9,40,49,25,3,11,17,24,8
PHX,11/21/2018,PHX @ CHI,L,241,116,48,98,49,10,34,29.4,10,10,100,6,30,36,28,9,5,13,20,-8
SAS,11/21/2018,SAS vs. MEM,L,239,103,35,82,42.7,7,22,31.8,26,30,86.7,10,33,43,21,4,5,8,20,-1
TOR,11/21/2018,TOR @ ATL,W,240,124,48,90,53.3,11,29,37.9,17,23,73.9,14,41,55,33,6,1,17,21,16
LAL,11/21/2018,LAL @ CLE,W,241,109,40,78,51.3,9,25,36,20,28,71.4,7,44,51,23,2,9,15,20,4
MIN,11/21/2018,MIN vs. DEN,L,239,101,35,79,44.3,9,32,28.1,22,26,84.6,8,32,40,24,8,3,17,15,-2
BKN,11/21/2018,BKN @ DAL,L,240,113,42,94,44.7,14,42,33.3,15,21,71.4,16,26,42,23,8,2,14,31,-6
MEM,11/21/2018,MEM @ SAS,W,239,104,39,81,48.1,8,25,32,18,21,85.7,4,36,40,21,4,7,9,25,1
ATL,11/21/2018,ATL vs. TOR,L,238,108,42,93,45.2,10,36,27.8,14,18,77.8,9,25,34,24,10,7,9,21,-16
BOS,11/21/2018,BOS vs. NYK,L,241,109,38,97,39.2,10,33,30.3,23,32,71.9,15,35,50,30,10,9,8,16,-8
HOU,11/21/2018,HOU vs. DET,W,240,126,40,72,55.6,13,33,39.4,33,36,91.7,5,31,36,18,8,7,15,25,2
GSW,11/21/2018,GSW vs. OKC,L,241,95,36,83,43.4,7,29,24.1,16,24,66.7,7,35,42,24,7,10,17,18,-28
DET,11/21/2018,DET @ HOU,L,240,124,40,85,47.1,16,34,47.1,28,37,75.7,15,22,37,20,8,1,16,26,-2
CHI,11/21/2018,CHI vs. PHX,W,241,124,46,81,56.8,11,25,44,21,24,87.5,4,35,39,28,8,2,17,19,8
UTA,11/21/2018,UTA vs. SAC,L,241,110,38,88,43.2,12,39,30.8,22,31,71,12,34,46,21,7,7,10,21,-9
POR,11/21/2018,POR @ MIL,L,241,100,34,93,36.6,9,41,22,23,28,82.1,10,30,40,13,8,6,17,20,-43
CHA,11/21/2018,CHA vs. IND,W,239,127,45,80,56.3,18,29,62.1,19,22,86.4,6,30,36,30,7,3,12,15,18
SAC,11/21/2018,SAC @ UTA,W,240,119,47,89,52.8,11,25,44,14,19,73.7,8,40,48,27,5,4,11,30,9
DAL,11/21/2018,DAL vs. BKN,W,240,119,38,78,48.7,11,27,40.7,32,41,78,8,37,45,21,10,3,13,20,6
NOP,11/21/2018,NOP @ PHI,L,240,120,42,98,42.9,11,30,36.7,25,33,75.8,20,34,54,24,8,8,15,21,-1
PHI,11/21/2018,PHI vs. NOP,W,240,121,44,98,44.9,10,29,34.5,23,26,88.5,11,36,47,27,7,7,16,26,1
CLE,11/21/2018,CLE vs. LAL,L,241,105,39,102,38.2,13,34,38.2,14,15,93.3,15,31,46,18,3,2,3,22,-4
CHA,11/23/2018,CHA @ OKC,L,241,104,43,94,45.7,6,31,19.4,12,14,85.7,11,35,46,24,8,5,13,21,-5
MIN,11/23/2018,MIN @ BKN,W,240,112,44,92,47.8,9,25,36,15,17,88.2,9,29,38,25,15,4,7,20,10
PHX,11/23/2018,PHX @ MIL,W,240,116,45,90,50,9,26,34.6,17,22,77.3,6,34,40,21,8,4,11,25,2
SAS,11/23/2018,SAS @ IND,W,238,111,42,83,50.6,10,21,47.6,17,24,70.8,9,37,46,28,3,4,15,19,11
BOS,11/23/2018,BOS @ ATL,W,240,114,42,91,46.2,13,40,32.5,17,21,81,7,36,43,31,11,7,16,29,18
MIA,11/23/2018,MIA @ CHI,W,241,103,37,87,42.5,10,34,29.4,19,31,61.3,10,38,48,20,10,11,14,21,7
NYK,11/23/2018,NYK vs. NOP,W,240,114,41,91,45.1,12,33,36.4,20,27,74.1,12,34,46,22,9,10,8,26,5
LAC,11/23/2018,LAC vs. MEM,W,265,112,40,94,42.6,8,23,34.8,24,27,88.9,8,40,48,26,6,5,11,23,5
LAL,11/23/2018,LAL vs. UTA,W,239,90,36,79,45.6,7,23,30.4,11,18,61.1,5,42,47,10,11,5,23,20,7
ORL,11/23/2018,ORL @ DEN,L,242,87,32,79,40.5,8,32,25,15,19,78.9,4,33,37,24,7,2,13,19,-25
DET,11/23/2018,DET vs. HOU,W,262,116,40,88,45.5,7,27,25.9,29,40,72.5,14,35,49,18,11,5,13,18,5
WAS,11/23/2018,WAS @ TOR,L,240,107,40,100,40,9,46,19.6,18,19,94.7,14,30,44,28,8,7,12,16,-18
MEM,11/23/2018,MEM @ LAC,L,265,107,42,92,45.7,9,27,33.3,14,18,77.8,6,41,47,29,6,7,16,29,-5
DEN,11/23/2018,DEN vs. ORL,W,240,112,44,93,47.3,9,28,32.1,15,17,88.2,12,39,51,33,10,5,11,20,25
PHI,11/23/2018,PHI vs. CLE,L,241,112,40,75,53.3,12,33,36.4,20,26,76.9,4,27,31,27,5,2,10,20,-9
NOP,11/23/2018,NOP @ NYK,L,241,109,40,101,39.6,7,28,25,22,29,75.9,20,35,55,26,5,5,14,22,-5
HOU,11/23/2018,HOU @ DET,L,264,111,41,98,41.8,10,36,27.8,19,21,90.5,17,27,44,22,6,7,14,26,-5
TOR,11/23/2018,TOR vs. WAS,W,240,125,46,93,49.5,17,39,43.6,16,19,84.2,13,37,50,32,5,6,15,23,18
IND,11/23/2018,IND vs. SAS,L,239,100,46,99,46.5,3,24,12.5,5,9,55.6,11,34,45,31,9,2,12,22,-11
CLE,11/23/2018,CLE @ PHI,W,241,121,49,93,52.7,11,22,50,12,16,75,14,28,42,16,7,1,8,25,9
UTA,11/23/2018,UTA @ LAL,L,241,83,33,85,38.8,4,23,17.4,13,17,76.5,7,34,41,22,12,3,19,21,-7
ATL,11/23/2018,ATL vs. BOS,L,239,96,35,81,43.2,6,35,17.1,20,29,69,5,35,40,22,9,7,20,26,-18
CHI,11/23/2018,CHI vs. MIA,L,240,96,35,94,37.2,7,28,25,19,20,95,11,40,51,23,8,6,17,23,-7
GSW,11/23/2018,GSW vs. POR,W,241,125,48,85,56.5,17,32,53.1,12,16,75,6,37,43,29,11,10,15,22,28
OKC,11/23/2018,OKC vs. CHA,W,240,109,41,93,44.1,11,33,33.3,16,24,66.7,11,35,46,24,6,2,14,18,5
BKN,11/23/2018,BKN vs. MIN,L,241,102,33,79,41.8,14,45,31.1,22,26,84.6,9,37,46,26,2,4,18,22,-10
MIL,11/23/2018,MIL vs. PHX,L,239,114,42,87,48.3,10,44,22.7,20,30,66.7,7,36,43,30,6,7,14,17,-2
POR,11/23/2018,POR @ GSW,L,240,97,38,93,40.9,9,24,37.5,12,22,54.5,12,27,39,22,9,2,13,16,-28
BOS,11/24/2018,BOS @ DAL,L,240,104,41,86,47.7,10,28,35.7,12,13,92.3,9,33,42,19,8,3,17,21,-9
NOP,11/24/2018,NOP @ WAS,L,241,114,43,90,47.8,11,31,35.5,17,21,81,7,36,43,23,10,3,16,21,-10
SAS,11/24/2018,SAS @ MIL,L,241,129,49,92,53.3,10,21,47.6,21,28,75,9,30,39,27,8,3,10,21,-6
DEN,11/24/2018,DEN @ OKC,W,240,105,39,95,41.1,10,30,33.3,17,24,70.8,15,39,54,26,6,9,14,20,7
HOU,11/24/2018,HOU @ CLE,L,241,108,37,74,50,15,39,38.5,19,28,67.9,8,23,31,18,5,4,16,19,-9
CLE,11/24/2018,CLE vs. HOU,W,239,117,44,90,48.9,7,22,31.8,22,29,75.9,20,29,49,15,11,2,13,24,9
GSW,11/24/2018,GSW vs. SAC,W,238,117,41,88,46.6,10,34,29.4,25,29,86.2,12,42,54,28,5,6,14,24,1
SAC,11/24/2018,SAC @ GSW,L,241,116,42,97,43.3,11,28,39.3,21,29,72.4,13,34,47,28,6,4,8,22,-1
CHI,11/24/2018,CHI @ MIN,L,241,96,32,81,39.5,10,33,30.3,22,31,71,6,34,40,22,7,4,13,19,-15
MIL,11/24/2018,MIL vs. SAS,W,241,135,49,86,57,15,40,37.5,22,29,75.9,6,35,41,30,7,3,13,22,6
DAL,11/24/2018,DAL vs. BOS,W,240,113,42,87,48.3,16,41,39,13,21,61.9,13,30,43,27,12,3,16,16,9
WAS,11/24/2018,WAS vs. NOP,W,241,124,51,90,56.7,10,29,34.5,12,23,52.2,5,40,45,30,12,9,14,16,10
OKC,11/24/2018,OKC vs. DEN,L,240,98,37,103,35.9,9,39,23.1,15,23,65.2,19,35,54,22,9,5,10,24,-7
MIN,11/24/2018,MIN vs. CHI,W,240,111,42,103,40.8,7,34,20.6,20,23,87,21,38,59,22,7,5,13,23,15
LAL,11/25/2018,LAL vs. ORL,L,240,104,37,79,46.8,10,26,38.5,20,31,64.5,5,37,42,22,9,10,18,17,-4
MIA,11/25/2018,MIA @ TOR,L,239,115,39,95,41.1,15,36,41.7,22,32,68.8,17,29,46,21,6,5,7,22,-10
ORL,11/25/2018,ORL @ LAL,W,240,108,42,93,45.2,11,31,35.5,13,14,92.9,9,36,45,31,8,5,13,22,4
MEM,11/25/2018,MEM vs. NYK,L,240,98,38,86,44.2,11,30,36.7,11,19,57.9,6,35,41,27,5,19,7,23,-5
UTA,11/25/2018,UTA @ SAC,W,240,133,49,92,53.3,10,30,33.3,25,33,75.8,13,36,49,30,11,5,18,26,21
TOR,11/25/2018,TOR vs. MIA,W,240,125,47,90,52.2,11,35,31.4,20,25,80,11,36,47,25,4,7,9,21,10
SAC,11/25/2018,SAC vs. UTA,L,242,112,40,85,47.1,9,23,39.1,23,31,74.2,7,29,36,20,10,7,17,25,-21
BKN,11/25/2018,BKN vs. PHI,L,240,125,50,88,56.8,10,25,40,15,20,75,10,33,43,19,2,4,16,25,-2
CHA,11/25/2018,CHA @ ATL,L,241,123,41,92,44.6,18,45,40,23,28,82.1,10,32,42,30,8,4,10,15,-1
PHX,11/25/2018,PHX @ DET,L,240,107,42,82,51.2,8,25,32,15,21,71.4,10,32,42,22,6,6,17,22,-11
LAC,11/25/2018,LAC @ POR,W,241,104,38,90,42.2,5,25,20,23,34,67.6,11,37,48,15,9,5,4,13,4
PHI,11/25/2018,PHI @ BKN,W,239,127,44,91,48.4,12,29,41.4,27,33,81.8,13,29,42,28,9,6,9,22,2
POR,11/25/2018,POR vs. LAC,L,240,100,42,97,43.3,8,38,21.1,8,10,80,16,42,58,18,2,5,12,24,-4
DET,11/25/2018,DET vs. PHX,W,240,118,43,93,46.2,16,41,39,16,25,64,13,28,41,30,9,0,12,19,11
NYK,11/25/2018,NYK @ MEM,W,239,103,34,91,37.4,8,22,36.4,27,32,84.4,14,42,56,17,4,5,7,21,5
ATL,11/25/2018,ATL vs. CHA,W,238,124,50,94,53.2,16,39,41,8,11,72.7,9,32,41,34,5,9,15,23,1
SAS,11/26/2018,SAS @ CHI,W,239,108,45,93,48.4,10,30,33.3,8,9,88.9,7,39,46,29,7,2,10,16,1
CHI,11/26/2018,CHI vs. SAS,L,241,107,42,90,46.7,14,33,42.4,9,11,81.8,5,38,43,23,6,5,11,12,-1
CLE,11/26/2018,CLE vs. MIN,L,240,95,36,86,41.9,10,31,32.3,13,14,92.9,9,31,40,24,4,3,16,18,-7
ORL,11/26/2018,ORL @ GSW,L,240,110,40,90,44.4,14,30,46.7,16,21,76.2,6,28,34,28,11,2,11,21,-6
UTA,11/26/2018,UTA vs. IND,L,239,88,34,81,42,8,31,25.8,12,17,70.6,10,28,38,25,10,4,17,17,-33
MIN,11/26/2018,MIN @ CLE,W,240,102,40,86,46.5,8,26,30.8,14,19,73.7,8,31,39,18,8,8,8,18,7
MIL,11/26/2018,MIL @ CHA,L,243,107,37,90,41.1,16,46,34.8,17,21,81,10,38,48,25,7,5,14,22,-3
BOS,11/26/2018,BOS @ NOP,W,241,124,48,97,49.5,19,39,48.7,9,10,90,14,28,42,27,14,4,13,25,17
GSW,11/26/2018,GSW vs. ORL,W,240,116,41,84,48.8,13,35,37.1,21,23,91.3,10,36,46,21,8,7,14,19,6
WAS,11/26/2018,WAS vs. HOU,W,265,135,50,89,56.2,11,29,37.9,24,32,75,9,29,38,29,7,7,13,29,0
NOP,11/26/2018,NOP vs. BOS,L,239,107,34,77,44.2,12,32,37.5,27,29,93.1,9,31,40,21,8,5,22,20,-17
IND,11/26/2018,IND @ UTA,W,241,121,49,84,58.3,9,18,50,14,17,82.4,4,35,39,33,13,4,16,17,33
HOU,11/26/2018,HOU @ WAS,L,264,131,46,97,47.4,18,48,37.5,21,27,77.8,18,30,48,22,8,5,19,31,0
CHA,11/26/2018,CHA vs. MIL,W,240,110,38,81,46.9,13,29,44.8,21,30,70,5,39,44,21,9,5,11,22,3
MIA,11/27/2018,MIA vs. ATL,L,242,113,40,87,46,13,38,34.2,20,30,66.7,11,32,43,22,20,3,20,25,-2
DEN,11/27/2018,DEN vs. LAL,W,241,117,47,97,48.5,9,25,36,14,15,93.3,16,44,60,28,7,4,11,17,32
PHX,11/27/2018,PHX vs. IND,L,240,104,41,92,44.6,10,30,33.3,12,18,66.7,12,33,45,20,8,6,8,17,-5
DET,11/27/2018,DET vs. NYK,W,240,115,38,80,47.5,7,24,29.2,32,45,71.1,7,41,48,20,5,7,13,26,7
IND,11/27/2018,IND @ PHX,W,239,109,38,90,42.2,11,26,42.3,22,29,75.9,17,38,55,25,8,6,12,13,5
ATL,11/27/2018,ATL @ MIA,W,239,115,38,80,47.5,12,31,38.7,27,32,84.4,10,36,46,22,13,7,24,24,2
TOR,11/27/2018,TOR @ MEM,W,240,122,42,69,60.9,18,33,54.5,20,28,71.4,4,27,31,25,5,5,15,18,8
LAL,11/27/2018,LAL @ DEN,L,240,85,34,87,39.1,5,35,14.3,12,18,66.7,8,31,39,19,5,8,12,19,-32
MEM,11/27/2018,MEM vs. TOR,L,240,114,43,85,50.6,10,29,34.5,18,21,85.7,11,24,35,27,9,5,13,23,-8
NYK,11/27/2018,NYK @ DET,L,241,108,36,91,39.6,9,27,33.3,27,32,84.4,13,37,50,16,5,5,13,31,-7
HOU,11/28/2018,HOU vs. DAL,L,239,108,40,87,46,13,45,28.9,15,23,65.2,15,23,38,28,10,5,16,26,-20
OKC,11/28/2018,OKC vs. CLE,W,240,100,41,86,47.7,6,27,22.2,12,15,80,8,42,50,25,5,11,13,18,17
PHX,11/28/2018,PHX @ LAC,L,239,99,39,89,43.8,8,26,30.8,13,18,72.2,7,27,34,20,17,6,16,24,-16
NYK,11/28/2018,NYK @ PHI,L,240,91,32,92,34.8,6,29,20.7,21,22,95.5,11,30,41,14,11,5,13,21,-26
NOP,11/28/2018,NOP vs. WAS,W,241,125,46,95,48.4,11,36,30.6,22,28,78.6,17,47,64,24,10,5,20,20,21
BKN,11/28/2018,BKN vs. UTA,L,239,91,30,86,34.9,11,30,36.7,20,28,71.4,14,34,48,11,12,5,20,20,-10
POR,11/28/2018,POR vs. ORL,W,240,115,37,85,43.5,19,39,48.7,22,32,68.8,13,34,47,24,8,1,11,17,3
CLE,11/28/2018,CLE @ OKC,L,241,83,35,89,39.3,9,23,39.1,4,9,44.4,7,36,43,20,4,1,12,19,-17
DAL,11/28/2018,DAL @ HOU,W,241,128,46,85,54.1,17,34,50,19,24,79.2,10,27,37,27,10,7,14,17,20
WAS,11/28/2018,WAS @ NOP,L,240,104,41,95,43.2,13,39,33.3,9,16,56.3,12,26,38,26,12,2,16,22,-21
PHI,11/28/2018,PHI vs. NYK,W,241,117,47,87,54,12,25,48,11,16,68.8,8,42,50,34,7,5,16,19,26
MIL,11/28/2018,MIL vs. CHI,W,239,116,43,87,49.4,12,35,34.3,18,24,75,8,40,48,29,6,8,12,23,3
CHI,11/28/2018,CHI @ MIL,L,239,113,40,89,44.9,11,37,29.7,22,29,75.9,9,36,45,28,9,3,11,23,-3
MIN,11/28/2018,MIN vs. SAS,W,240,128,50,99,50.5,18,41,43.9,10,15,66.7,13,35,48,33,12,6,8,18,39
SAS,11/28/2018,SAS @ MIN,L,239,89,34,87,39.1,8,27,29.6,13,13,100,12,34,46,23,1,8,18,17,-39
LAC,11/28/2018,LAC vs. PHX,W,240,115,40,86,46.5,11,21,52.4,24,32,75,18,38,56,21,6,7,21,17,16
ATL,11/28/2018,ATL @ CHA,L,240,94,32,93,34.4,11,44,25,19,22,86.4,16,38,54,20,11,8,19,25,-14
ORL,11/28/2018,ORL @ POR,L,241,112,42,81,51.9,14,30,46.7,14,15,93.3,3,34,37,28,3,8,14,20,-3
CHA,11/28/2018,CHA vs. ATL,W,242,108,38,83,45.8,4,20,20,28,37,75.7,5,39,44,20,15,5,14,21,14
UTA,11/28/2018,UTA @ BKN,W,239,101,39,82,47.6,9,28,32.1,14,21,66.7,8,40,48,17,10,6,19,25,10
IND,11/29/2018,IND @ LAL,L,240,96,32,86,37.2,10,23,43.5,22,27,81.5,10,34,44,23,14,4,17,22,-8
LAL,11/29/2018,LAL vs. IND,W,241,104,42,86,48.8,7,24,29.2,13,23,56.5,11,39,50,25,8,11,18,23,8
SAC,11/29/2018,SAC vs. LAC,L,239,121,46,96,47.9,7,24,29.2,22,26,84.6,16,32,48,26,4,2,11,25,-12
GSW,11/29/2018,GSW @ TOR,L,265,128,50,103,48.5,11,30,36.7,17,20,85,17,29,46,27,6,5,14,22,-3
TOR,11/29/2018,TOR vs. GSW,W,265,131,47,90,52.2,15,38,39.5,22,24,91.7,7,30,37,25,5,6,14,23,3
LAC,11/29/2018,LAC @ SAC,W,240,133,50,90,55.6,12,28,42.9,21,28,75,8,30,38,25,7,5,9,21,12
BKN,11/30/2018,BKN vs. MEM,L,290,125,42,94,44.7,16,44,36.4,25,30,83.3,11,40,51,26,7,4,16,28,-6
PHI,11/30/2018,PHI vs. WAS,W,240,123,43,98,43.9,12,38,31.6,25,33,75.8,17,41,58,28,11,7,12,17,25
HOU,11/30/2018,HOU @ SAS,W,240,136,49,98,50,22,54,40.7,16,20,80,13,36,49,32,9,6,5,22,31
CLE,11/30/2018,CLE @ BOS,L,239,95,30,77,39,7,22,31.8,28,35,80,9,27,36,18,5,1,13,21,-33
WAS,11/30/2018,WAS @ PHI,L,240,98,37,92,40.2,8,28,28.6,16,19,84.2,8,34,42,22,10,4,15,20,-25
DET,11/30/2018,DET vs. CHI,W,241,107,41,92,44.6,13,34,38.2,12,16,75,13,39,52,24,5,5,13,17,19
DEN,11/30/2018,DEN @ POR,W,240,113,40,87,46,14,30,46.7,19,26,73.1,13,28,41,28,11,3,11,21,1
UTA,11/30/2018,UTA @ CHA,W,240,119,44,81,54.3,18,40,45,13,18,72.2,6,35,41,32,5,5,14,13,8
PHX,11/30/2018,PHX vs. ORL,L,240,85,34,84,40.5,7,28,25,10,14,71.4,9,31,40,22,5,0,12,15,-14
ATL,11/30/2018,ATL @ OKC,L,239,109,43,96,44.8,11,36,30.6,12,20,60,14,28,42,26,15,3,21,12,-15
DAL,11/30/2018,DAL @ LAL,L,240,103,34,86,39.5,10,39,25.6,25,34,73.5,9,37,46,20,9,4,16,25,-11
MEM,11/30/2018,MEM @ BKN,W,290,131,50,101,49.5,12,30,40,19,22,86.4,11,34,45,27,8,6,17,23,6
CHI,11/30/2018,CHI @ DET,L,240,88,37,86,43,3,21,14.3,11,14,78.6,7,33,40,25,5,7,15,20,-19
LAL,11/30/2018,LAL vs. DAL,W,239,114,42,86,48.8,9,30,30,21,32,65.6,9,38,47,23,8,3,17,29,11
CHA,11/30/2018,CHA vs. UTA,L,242,111,47,95,49.5,9,28,32.1,8,13,61.5,7,31,38,19,8,3,8,17,-8
POR,11/30/2018,POR vs. DEN,L,241,112,45,85,52.9,6,22,27.3,16,21,76.2,12,32,44,19,7,6,14,23,-1
SAS,11/30/2018,SAS vs. HOU,L,239,105,39,86,45.3,10,28,35.7,17,20,85,9,32,41,24,4,4,13,18,-31
OKC,11/30/2018,OKC vs. ATL,W,241,124,46,88,52.3,18,41,43.9,14,15,93.3,7,39,46,30,12,7,20,24,15
MIA,11/30/2018,MIA vs. NOP,W,240,106,40,93,43,11,33,33.3,15,24,62.5,13,33,46,22,10,4,10,24,5
ORL,11/30/2018,ORL @ PHX,W,239,99,39,82,47.6,8,27,29.6,13,18,72.2,8,36,44,23,7,5,12,16,14
NOP,11/30/2018,NOP @ MIA,L,241,101,35,82,42.7,6,28,21.4,25,29,86.2,11,35,46,25,4,8,16,22,-5
BOS,11/30/2018,BOS vs. CLE,W,240,128,49,92,53.3,17,31,54.8,13,16,81.3,12,35,47,30,4,4,10,27,33
MIN,12/01/2018,MIN vs. BOS,L,239,109,37,82,45.1,9,28,32.1,26,32,81.3,9,30,39,19,6,2,16,18,-9
GSW,12/01/2018,GSW @ DET,L,239,102,39,85,45.9,6,26,23.1,18,21,85.7,8,36,44,23,6,5,14,22,-9
IND,12/01/2018,IND @ SAC,L,240,110,43,82,52.4,10,24,41.7,14,18,77.8,6,36,42,32,11,5,25,26,-1
SAC,12/01/2018,SAC vs. IND,W,240,111,41,91,45.1,13,29,44.8,16,24,66.7,14,32,46,25,10,3,20,16,1
CHI,12/01/2018,CHI @ HOU,L,241,105,39,88,44.3,8,32,25,19,24,79.2,7,34,41,15,11,6,13,22,-16
TOR,12/01/2018,TOR @ CLE,W,241,106,39,80,48.8,7,26,26.9,21,25,84,6,36,42,15,5,5,10,19,11
MIL,12/01/2018,MIL @ NYK,L,266,134,46,94,48.9,18,42,42.9,24,31,77.4,10,41,51,28,11,4,16,25,-5
BKN,12/01/2018,BKN @ WAS,L,237,88,30,81,37,8,33,24.2,20,25,80,11,31,42,19,8,2,17,17,-8.2
DET,12/01/2018,DET vs. GSW,W,242,111,43,98,43.9,12,35,34.3,13,20,65,14,33,47,22,8,2,11,21,9
CLE,12/01/2018,CLE vs. TOR,L,240,95,34,88,38.6,5,22,22.7,22,25,88,11,33,44,14,6,0,11,23,-11
HOU,12/01/2018,HOU vs. CHI,W,239,121,42,84,50,16,41,39,21,30,70,6,41,47,23,8,7,14,21,16
BOS,12/01/2018,BOS @ MIN,W,241,118,40,85,47.1,17,44,38.6,21,21,100,7,33,40,30,9,3,14,25,9
NYK,12/01/2018,NYK vs. MIL,W,265,136,51,96,53.1,20,34,58.8,14,21,66.7,6,35,41,30,5,2,16,23,5
WAS,12/01/2018,WAS vs. BKN,W,241,102,41,79,51.9,8,26,30.8,12,18,66.7,2,36,38,19,8,3,13,21,10
CHA,12/02/2018,CHA vs. NOP,L,241,109,39,91,42.9,10,36,27.8,21,28,75,11,30,41,25,9,6,11,19,-10
PHI,12/02/2018,PHI vs. MEM,W,240,103,36,74,48.6,8,22,36.4,23,30,76.7,3,41,44,22,5,2,16,20,8
PHX,12/02/2018,PHX @ LAL,L,240,96,37,93,39.8,13,33,39.4,9,11,81.8,7,33,40,24,12,8,15,22,-24
MIA,12/02/2018,MIA vs. UTA,W,239,102,36,91,39.6,13,31,41.9,17,24,70.8,14,36,50,20,8,8,13,16,2
DAL,12/02/2018,DAL vs. LAC,W,240,114,42,95,44.2,8,23,34.8,22,26,84.6,17,47,64,20,6,5,16,21,4
POR,12/02/2018,POR @ SAS,L,239,118,45,86,52.3,12,29,41.4,16,16,100,9,26,35,25,6,5,17,21,-13
LAL,12/02/2018,LAL vs. PHX,W,241,120,46,92,50,11,27,40.7,17,23,73.9,11,45,56,26,9,4,19,15,24
MEM,12/02/2018,MEM @ PHI,L,239,95,33,79,41.8,11,28,39.3,18,23,78.3,3,32,35,19,7,7,14,24,-8
SAS,12/02/2018,SAS vs. POR,W,239,131,50,83,60.2,11,15,73.3,20,22,90.9,5,29,34,29,5,4,12,15,13
UTA,12/02/2018,UTA @ MIA,L,240,100,39,89,43.8,11,33,33.3,11,15,73.3,10,40,50,21,8,6,13,18,-2
LAC,12/02/2018,LAC @ DAL,L,239,110,42,95,44.2,9,24,37.5,17,22,77.3,8,36,44,23,9,5,10,22,-4
NOP,12/02/2018,NOP @ CHA,W,241,119,44,86,51.2,11,32,34.4,20,24,83.3,9,41,50,30,6,5,17,25,10
NOP,12/03/2018,NOP vs. LAC,L,240,126,49,92,53.3,13,34,38.2,15,22,68.2,10,25,35,32,10,5,7,24,-3
HOU,12/03/2018,HOU @ MIN,L,240,91,32,74,43.2,11,39,28.2,16,19,84.2,7,27,34,24,9,6,20,27,-12
LAC,12/03/2018,LAC @ NOP,W,239,129,49,83,59,8,20,40,23,30,76.7,7,32,39,29,4,1,12,21,3
CLE,12/03/2018,CLE @ BKN,W,240,99,38,88,43.2,4,15,26.7,19,20,95,14,41,55,15,5,4,9,17,2
ATL,12/03/2018,ATL vs. GSW,L,240,111,44,90,48.9,5,26,19.2,18,24,75,9,26,35,23,10,4,18,21,-17
BKN,12/03/2018,BKN vs. CLE,L,241,97,39,99,39.4,10,40,25,9,16,56.3,17,33,50,17,5,2,7,20,-2
DEN,12/03/2018,DEN @ TOR,W,242,106,40,89,44.9,11,28,39.3,15,24,62.5,15,34,49,32,9,2,20,14,3
DET,12/03/2018,DET vs. OKC,L,240,83,31,94,33,6,32,18.8,15,19,78.9,9,32,41,16,10,3,15,18,-27
