TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
SAS,11/07/2018,SAS @ MIA,L,241,88,31,94,33,13,32,40.6,13,14,92.9,12,37,49,19,8,5,12,19,-7
SAC,11/07/2018,SAC vs. TOR,L,239,105,42,88,47.7,8,23,34.8,13,18,72.2,6,25,31,27,10,5,15,26,-9
DEN,11/07/2018,DEN @ MEM,L,240,87,32,82,39,8,32,25,15,19,78.9,13,28,41,19,9,3,16,22,-2
MIN,11/07/2018,MIN @ LAL,L,240,110,41,91,45.1,20,40,50,8,9,88.9,11,29,40,22,10,5,15,17,-4
OKC,11/07/2018,OKC @ CLE,W,240,95,35,84,41.7,7,27,25.9,18,26,69.2,7,37,44,10,13,9,12,23,9
UTA,11/07/2018,UTA vs. DAL,W,240,117,43,89,48.3,13,37,35.1,18,26,69.2,8,27,35,31,12,10,11,32,15
GSW,11/08/2018,GSW vs. MIL,L,239,111,42,87,48.3,10,28,35.7,17,22,77.3,8,30,38,31,5,6,18,22,-23
LAC,11/08/2018,LAC @ POR,L,240,105,41,89,46.1,8,23,34.8,15,20,75,7,34,41,19,2,10,7,22,-11
MIL,11/08/2018,MIL @ GSW,W,240,134,52,101,51.5,9,35,25.7,21,27,77.8,13,33,46,33,11,7,12,23,23
PHX,11/08/2018,PHX vs. BOS,L,266,109,41,93,44.1,11,35,31.4,16,19,84.2,4,38,42,25,10,6,15,23,-7
BOS,11/08/2018,BOS @ PHX,W,266,116,39,97,40.2,14,37,37.8,24,31,77.4,17,39,56,21,6,6,16,18,7
HOU,11/08/2018,HOU @ OKC,L,240,80,31,82,37.8,11,42,26.2,7,10,70,12,27,39,16,9,3,16,26,-18
POR,11/08/2018,POR vs. LAC,W,240,116,40,97,41.2,10,26,38.5,26,28,92.9,14,39,53,18,4,8,6,20,11
OKC,11/08/2018,OKC vs. HOU,W,240,98,36,81,44.4,9,37,24.3,17,24,70.8,13,39,52,18,10,4,14,16,18
WAS,11/09/2018,WAS @ ORL,L,239,108,42,82,51.2,11,27,40.7,13,19,68.4,6,29,35,24,8,3,18,18,-9
SAC,11/09/2018,SAC vs. MIN,W,239,121,43,95,45.3,12,32,37.5,23,29,79.3,12,37,49,25,7,6,12,29,11
PHI,11/09/2018,PHI vs. CHA,W,266,133,45,94,47.9,12,37,32.4,31,41,75.6,13,46,59,33,3,15,16,33,1
UTA,11/09/2018,UTA vs. BOS,W,240,123,43,77,55.8,13,34,38.2,24,30,80,8,37,45,29,4,4,16,21,8
MIA,11/09/2018,MIA vs. IND,L,240,102,36,80,45,14,27,51.9,16,27,59.3,9,29,38,27,6,6,23,27,-8
ORL,11/09/2018,ORL vs. WAS,W,241,117,44,86,51.2,13,31,41.9,16,19,84.2,10,31,41,26,8,6,15,18,9
IND,11/09/2018,IND @ MIA,W,240,110,43,79,54.4,7,20,35,17,29,58.6,6,33,39,20,10,5,18,26,8
BOS,11/09/2018,BOS @ UTA,L,240,115,39,88,44.3,17,43,39.5,20,22,90.9,5,23,28,31,11,3,8,20,-8
MIN,11/09/2018,MIN @ SAC,L,240,110,39,94,41.5,7,25,28,25,31,80.6,15,37,52,20,6,1,17,23,-11
BKN,11/09/2018,BKN @ DEN,W,240,112,36,88,40.9,12,33,36.4,28,42,66.7,12,30,42,21,7,9,8,24,2
ATL,11/09/2018,ATL vs. DET,L,240,109,36,79,45.6,7,28,25,30,40,75,9,44,53,17,6,2,16,21,-15
CHA,11/09/2018,CHA @ PHI,L,265,132,43,110,39.1,16,40,40,30,40,75,14,35,49,25,10,5,4,33,-1
