TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
OKC,05/11/2021,OKC @ SAC,L,240,106,-16
MIA,05/11/2021,MIA @ BOS,W,239,129,8
BOS,05/11/2021,BOS vs. MIA,L,238,121,-8
BKN,05/11/2021,BKN @ CHI,W,240,115,8
CHI,05/11/2021,CHI vs. BKN,L,240,107,-8
GSW,05/11/2021,GSW vs. PHX,W,241,122,6
PHX,05/11/2021,PHX @ GSW,L,241,116,-6
MEM,05/11/2021,MEM vs. DAL,W,240,133,29
DAL,05/11/2021,DAL @ MEM,L,240,104,-29
NYK,05/11/2021,NYK @ LAL,L,266,99,-2
LAL,05/11/2021,LAL vs. NYK,W,265,101,2
LAC,05/11/2021,LAC @ TOR,W,240,115,19
TOR,05/11/2021,TOR vs. LAC,L,239,96,-19
DET,05/11/2021,DET vs. MIN,L,240,100,-19
MIN,05/11/2021,MIN @ DET,W,241,119,19
IND,05/11/2021,IND vs. PHI,W,241,103,9
PHI,05/11/2021,PHI @ IND,L,240,94,-9
ORL,05/11/2021,ORL @ MIL,L,240,102,-12
MIL,05/11/2021,MIL vs. ORL,W,241,114,12
DEN,05/11/2021,DEN @ CHA,W,240,117,5
CHA,05/11/2021,CHA vs. DEN,L,240,112,-5
ATL,05/12/2021,ATL vs. WAS,W,239,120,4
WAS,05/12/2021,WAS @ ATL,L,240,116,-4
POR,05/12/2021,POR @ UTA,W,240,105,7
UTA,05/12/2021,UTA vs. POR,L,240,98,-7
LAL,05/12/2021,LAL vs. HOU,W,242,124,2
HOU,05/12/2021,HOU @ LAL,L,240,122,-2
NOP,05/12/2021,NOP @ DAL,L,241,107,-18
DAL,05/12/2021,DAL vs. NOP,W,238,125,18
BKN,05/12/2021,BKN vs. SAS,W,240,128,12
SAS,05/12/2021,SAS @ BKN,L,242,116,-12
BOS,05/12/2021,BOS @ CLE,L,240,94,-8
CLE,05/12/2021,CLE vs. BOS,W,240,102,8
MIL,05/13/2021,MIL @ IND,W,240,142,9
IND,05/13/2021,IND vs. MIL,L,241,133,-9
ORL,05/13/2021,ORL @ ATL,L,241,93,-23
ATL,05/13/2021,ATL vs. ORL,W,239,116,23
DEN,05/13/2021,DEN @ MIN,W,239,114,11
MIN,05/13/2021,MIN vs. DEN,L,240,103,-11
PHI,05/13/2021,PHI @ MIA,L,238,94,-12
MIA,05/13/2021,MIA vs. PHI,W,241,106,12
TOR,05/13/2021,TOR @ CHI,L,239,102,-12
CHI,05/13/2021,CHI vs. TOR,W,240,114,12
POR,05/13/2021,POR @ PHX,L,240,117,-1
PHX,05/13/2021,PHX vs. POR,W,241,118,1
SAC,05/13/2021,SAC @ MEM,L,239,110,-6
MEM,05/13/2021,MEM vs. SAC,W,239,116,6
SAS,05/13/2021,SAS @ NYK,L,240,98,-4
NYK,05/13/2021,NYK vs. SAS,W,240,102,4
CHA,05/13/2021,CHA vs. LAC,L,239,90,-23
LAC,05/13/2021,LAC @ CHA,W,239,113,23
NOP,05/14/2021,NOP @ GSW,L,241,122,-3
GSW,05/14/2021,GSW vs. NOP,W,240,125,3
LAC,05/14/2021,LAC @ HOU,L,240,115,-7
HOU,05/14/2021,HOU vs. LAC,W,239,122,7
UTA,05/14/2021,UTA @ OKC,W,240,109,16
OKC,05/14/2021,OKC vs. UTA,L,240,93,-16
DET,05/14/2021,DET vs. DEN,L,240,91,-13
DEN,05/14/2021,DEN @ DET,W,240,104,13
CLE,05/14/2021,CLE @ WAS,L,240,105,-15
WAS,05/14/2021,WAS vs. CLE,W,240,120,15
ORL,05/14/2021,ORL @ PHI,L,240,97,-25
PHI,05/14/2021,PHI vs. ORL,W,241,122,25
TOR,05/14/2021,TOR @ DAL,L,239,110,-4
DAL,05/14/2021,DAL vs. TOR,W,239,114,4
SAC,05/14/2021,SAC @ MEM,L,241,106,-1
MEM,05/14/2021,MEM vs. SAC,W,239,107,1
SAS,05/15/2021,SAS vs. PHX,L,240,103,-37
PHX,05/15/2021,PHX @ SAS,W,238,140,37
CHI,05/15/2021,CHI @ BKN,L,238,91,-14
BKN,05/15/2021,BKN vs. CHI,W,241,105,14
MIL,05/15/2021,MIL vs. MIA,W,242,122,14
MIA,05/15/2021,MIA @ MIL,L,241,108,-14
LAL,05/15/2021,LAL @ IND,W,241,122,7
IND,05/15/2021,IND vs. LAL,L,241,115,-7
CHA,05/15/2021,CHA @ NYK,L,265,109,-9
NYK,05/15/2021,NYK vs. CHA,W,263,118,9
BOS,05/15/2021,BOS @ MIN,W,240,124,16
MIN,05/15/2021,MIN vs. BOS,L,242,108,-16
PHI,05/16/2021,PHI vs. ORL,W,241,128,11
ORL,05/16/2021,ORL @ PHI,L,240,117,-11
MIL,05/16/2021,MIL @ CHI,L,241,112,-6
CHI,05/16/2021,CHI vs. MIL,W,241,118,6
DEN,05/16/2021,DEN @ POR,L,240,116,-16
POR,05/16/2021,POR vs. DEN,W,238,132,16
DET,05/16/2021,DET vs. MIA,L,240,107,-13
MIA,05/16/2021,MIA @ DET,W,241,120,13
NOP,05/16/2021,NOP vs. LAL,L,241,98,-12
LAL,05/16/2021,LAL @ NOP,W,238,110,12
OKC,05/16/2021,OKC vs. LAC,W,239,117,5
LAC,05/16/2021,LAC @ OKC,L,240,112,-5
IND,05/16/2021,IND @ TOR,W,239,125,12
TOR,05/16/2021,TOR vs. IND,L,240,113,-12
PHX,05/16/2021,PHX @ SAS,W,240,123,2
SAS,05/16/2021,SAS vs. PHX,L,240,121,-2
MIN,05/16/2021,MIN vs. DAL,W,241,136,15
DAL,05/16/2021,DAL @ MIN,L,239,121,-15
SAC,05/16/2021,SAC vs. UTA,L,241,99,-22
UTA,05/16/2021,UTA @ SAC,W,239,121,22
GSW,05/16/2021,GSW vs. MEM,W,240,113,12
MEM,05/16/2021,MEM @ GSW,L,241,101,-12
WAS,05/16/2021,WAS vs. CHA,W,241,115,5
CHA,05/16/2021,CHA @ WAS,L,240,110,-5
ATL,05/16/2021,ATL vs. HOU,W,240,124,29
HOU,05/16/2021,HOU @ ATL,L,239,95,-29
NYK,05/16/2021,NYK vs. BOS,W,238,96,4
BOS,05/16/2021,BOS @ NYK,L,240,92,-4
BKN,05/16/2021,BKN vs. CLE,W,240,123,14
CLE,05/16/2021,CLE @ BKN,L,239,109,-14
WAS,05/18/2021,WAS @ BOS,L,241,100,-18
BOS,05/18/2021,BOS vs. WAS,W,241,118,18
CHA,05/18/2021,CHA @ IND,L,239,117,-27
IND,05/18/2021,IND vs. CHA,W,240,144,27
MEM,05/19/2021,MEM vs. SAS,W,241,100,4
SAS,05/19/2021,SAS @ MEM,L,240,96,-4
LAL,05/19/2021,LAL vs. GSW,W,240,103,3
GSW,05/19/2021,GSW @ LAL,L,240,100,-3
WAS,05/20/2021,WAS vs. IND,W,238,142,27
IND,05/20/2021,IND @ WAS,L,239,115,-27
MEM,05/21/2021,MEM @ GSW,W,265,117,5
GSW,05/21/2021,GSW vs. MEM,L,265,112,-5
LAC,05/22/2021,LAC vs. DAL,L,240,103,-10
DAL,05/22/2021,DAL @ LAC,W,240,113,10
DEN,05/22/2021,DEN vs. POR,L,240,109,-14
POR,05/22/2021,POR @ DEN,W,240,123,14
BKN,05/22/2021,BKN vs. BOS,W,239,104,11
BOS,05/22/2021,BOS @ BKN,L,243,93,-11
MIL,05/22/2021,MIL vs. MIA,W,264,109,2
MIA,05/22/2021,MIA @ MIL,L,265,107,-2
PHX,05/23/2021,PHX vs. LAL,W,240,99,9
LAL,05/23/2021,LAL @ PHX,L,240,90,-9
WAS,05/23/2021,WAS @ PHI,L,241,118,-7
PHI,05/23/2021,PHI vs. WAS,W,240,125,7
NYK,05/23/2021,NYK vs. ATL,L,241,105,-2
ATL,05/23/2021,ATL @ NYK,W,241,107,2
MEM,05/23/2021,MEM @ UTA,W,240,112,3
UTA,05/23/2021,UTA vs. MEM,L,240,109,-3
MIA,05/24/2021,MIA @ MIL,L,241,98,-34
MIL,05/24/2021,MIL vs. MIA,W,240,132,34
POR,05/24/2021,POR @ DEN,L,242,109,-19
DEN,05/24/2021,DEN vs. POR,W,240,128,19
LAC,05/25/2021,LAC vs. DAL,L,240,121,-6
DAL,05/25/2021,DAL @ LAC,W,240,127,6
PHX,05/25/2021,PHX vs. LAL,L,241,102,-7
LAL,05/25/2021,LAL @ PHX,W,241,109,7
BKN,05/25/2021,BKN vs. BOS,W,238,130,22
BOS,05/25/2021,BOS @ BKN,L,239,108,-22
UTA,05/26/2021,UTA vs. MEM,W,240,141,12
MEM,05/26/2021,MEM @ UTA,L,240,129,-12
PHI,05/26/2021,PHI vs. WAS,W,241,120,25
WAS,05/26/2021,WAS @ PHI,L,239,95,-25
ATL,05/26/2021,ATL @ NYK,L,241,92,-9
NYK,05/26/2021,NYK vs. ATL,W,241,101,9
LAL,05/27/2021,LAL vs. PHX,W,240,109,14
PHX,05/27/2021,PHX @ LAL,L,240,95,-14
DEN,05/27/2021,DEN @ POR,W,239,120,5
POR,05/27/2021,POR vs. DEN,L,241,115,-5
MIL,05/27/2021,MIL @ MIA,W,239,113,29
MIA,05/27/2021,MIA vs. MIL,L,239,84,-29
LAC,05/28/2021,LAC @ DAL,W,240,118,10
DAL,05/28/2021,DAL vs. LAC,L,241,108,-10
NYK,05/28/2021,NYK @ ATL,L,240,94,-11
ATL,05/28/2021,ATL vs. NYK,W,241,105,11
BOS,05/28/2021,BOS vs. BKN,W,240,125,6
BKN,05/28/2021,BKN @ BOS,L,240,119,-6
MIL,05/29/2021,MIL @ MIA,W,239,120,17
MIA,05/29/2021,MIA vs. MIL,L,239,103,-17
MEM,05/29/2021,MEM vs. UTA,L,241,111,-10
UTA,05/29/2021,UTA @ MEM,W,241,121,10
POR,05/29/2021,POR vs. DEN,W,239,115,20
DEN,05/29/2021,DEN @ POR,L,239,95,-20
PHI,05/29/2021,PHI @ WAS,W,240,132,29
WAS,05/29/2021,WAS vs. PHI,L,239,103,-29
ATL,05/30/2021,ATL vs. NYK,W,241,113,17
NYK,05/30/2021,NYK @ ATL,L,242,96,-17
LAC,05/30/2021,LAC @ DAL,W,239,106,25
DAL,05/30/2021,DAL vs. LAC,L,240,81,-25
PHX,05/30/2021,PHX @ LAL,W,241,100,8
LAL,05/30/2021,LAL vs. PHX,L,239,92,-8
BKN,05/30/2021,BKN @ BOS,W,240,141,15
BOS,05/30/2021,BOS vs. BKN,L,241,126,-15
PHI,05/31/2021,PHI @ WAS,L,240,114,-8
WAS,05/31/2021,WAS vs. PHI,W,240,122,0.6
UTA,05/31/2021,UTA @ MEM,W,241,120,7
MEM,05/31/2021,MEM vs. UTA,L,240,113,-7
POR,06/01/2021,POR @ DEN,L,290,140,-7
DEN,06/01/2021,DEN vs. POR,W,290,147,7
BOS,06/01/2021,BOS @ BKN,L,240,109,-14
BKN,06/01/2021,BKN vs. BOS,W,239,123,14
LAL,06/01/2021,LAL @ PHX,L,240,85,-30
PHX,06/01/2021,PHX vs. LAL,W,239,115,30
NYK,06/02/2021,NYK vs. ATL,L,240,89,-14
ATL,06/02/2021,ATL @ NYK,W,241,103,14
MEM,06/02/2021,MEM @ UTA,L,238,110,-16
UTA,06/02/2021,UTA vs. MEM,W,238,126,16
PHI,06/02/2021,PHI vs. WAS,W,240,129,17
WAS,06/02/2021,WAS @ PHI,L,243,112,-17
DAL,06/02/2021,DAL @ LAC,W,240,105,5
LAC,06/02/2021,LAC vs. DAL,L,241,100,-5
DEN,06/03/2021,DEN @ POR,W,239,126,11
POR,06/03/2021,POR vs. DEN,L,240,115,-11
LAL,06/03/2021,LAL vs. PHX,L,241,100,-13
PHX,06/03/2021,PHX @ LAL,W,241,113,13
LAC,06/04/2021,LAC @ DAL,W,241,104,7
DAL,06/04/2021,DAL vs. LAC,L,240,97,-7
MIL,06/05/2021,MIL @ BKN,L,241,107,-8
BKN,06/05/2021,BKN vs. MIL,W,237,115,8
ATL,06/06/2021,ATL @ PHI,W,240,128,4
PHI,06/06/2021,PHI vs. ATL,L,241,124,-4
LAC,06/06/2021,LAC vs. DAL,W,241,126,15
DAL,06/06/2021,DAL @ LAC,L,239,111,-15
BKN,06/07/2021,BKN vs. MIL,W,241,125,39
MIL,06/07/2021,MIL @ BKN,L,241,86,-39
PHX,06/07/2021,PHX vs. DEN,W,239,122,17
DEN,06/07/2021,DEN @ PHX,L,238,105,-17
UTA,06/08/2021,UTA vs. LAC,W,240,112,3
LAC,06/08/2021,LAC @ UTA,L,239,109,-3
PHI,06/08/2021,PHI vs. ATL,W,242,118,16
ATL,06/08/2021,ATL @ PHI,L,242,102,-16
PHX,06/09/2021,PHX vs. DEN,W,240,123,25
DEN,06/09/2021,DEN @ PHX,L,242,98,-25
LAC,06/10/2021,LAC @ UTA,L,240,111,-6
UTA,06/10/2021,UTA vs. LAC,W,241,117,6
BKN,06/10/2021,BKN @ MIL,L,240,83,-3
MIL,06/10/2021,MIL vs. BKN,W,241,86,3
ATL,06/11/2021,ATL vs. PHI,L,240,111,-16
PHI,06/11/2021,PHI @ ATL,W,240,127,16
PHX,06/11/2021,PHX @ DEN,W,239,116,14
DEN,06/11/2021,DEN vs. PHX,L,240,102,-14
LAC,06/12/2021,LAC vs. UTA,W,239,132,26
UTA,06/12/2021,UTA @ LAC,L,238,106,-26
BKN,06/13/2021,BKN @ MIL,L,239,96,-11
MIL,06/13/2021,MIL vs. BKN,W,241,107,11
DEN,06/13/2021,DEN vs. PHX,L,241,118,-7
PHX,06/13/2021,PHX @ DEN,W,241,125,7
ATL,06/14/2021,ATL vs. PHI,W,240,103,3
PHI,06/14/2021,PHI @ ATL,L,239,100,-3
UTA,06/14/2021,UTA @ LAC,L,240,104,-14
LAC,06/14/2021,LAC vs. UTA,W,239,118,14
BKN,06/15/2021,BKN vs. MIL,W,241,114,6
MIL,06/15/2021,MIL @ BKN,L,239,108,-6
ATL,06/16/2021,ATL @ PHI,W,239,109,3
PHI,06/16/2021,PHI vs. ATL,L,241,106,-3
LAC,06/16/2021,LAC @ UTA,W,239,119,8
UTA,06/16/2021,UTA vs. LAC,L,240,111,-8
BKN,06/17/2021,BKN @ MIL,L,242,89,-15
MIL,06/17/2021,MIL vs. BKN,W,240,104,15
LAC,06/18/2021,LAC vs. UTA,W,242,131,12
UTA,06/18/2021,UTA @ LAC,L,241,119,-12
ATL,06/18/2021,ATL vs. PHI,L,240,99,-5
PHI,06/18/2021,PHI @ ATL,W,239,104,5
MIL,06/19/2021,MIL @ BKN,W,263,115,4
BKN,06/19/2021,BKN vs. MIL,L,265,111,-4
PHX,06/20/2021,PHX vs. LAC,W,240,120,6
LAC,06/20/2021,LAC @ PHX,L,239,114,-6
PHI,06/20/2021,PHI vs. ATL,L,240,96,-7
ATL,06/20/2021,ATL @ PHI,W,239,103,7
LAC,06/22/2021,LAC @ PHX,L,240,103,-1
PHX,06/22/2021,PHX vs. LAC,W,239,104,1
MIL,06/23/2021,MIL vs. ATL,L,241,113,-3
ATL,06/23/2021,ATL @ MIL,W,239,116,3
LAC,06/24/2021,LAC vs. PHX,W,244,106,14
PHX,06/24/2021,PHX @ LAC,L,240,92,-14
ATL,06/25/2021,ATL @ MIL,L,240,91,-34
MIL,06/25/2021,MIL vs. ATL,W,239,125,34
LAC,06/26/2021,LAC vs. PHX,L,240,80,-4
PHX,06/26/2021,PHX @ LAC,W,239,84,4
ATL,06/27/2021,ATL vs. MIL,L,240,102,-11
MIL,06/27/2021,MIL @ ATL,W,240,113,11
PHX,06/28/2021,PHX vs. LAC,L,239,102,-14
LAC,06/28/2021,LAC @ PHX,W,239,116,14
ATL,06/29/2021,ATL vs. MIL,W,239,110,22
MIL,06/29/2021,MIL @ ATL,L,237,88,-22
PHX,06/30/2021,PHX @ LAC,W,241,130,27
LAC,06/30/2021,LAC vs. PHX,L,239,103,-27
ATL,07/01/2021,ATL @ MIL,L,241,112,-11
MIL,07/01/2021,MIL vs. ATL,W,242,123,11
MIL,07/03/2021,MIL @ ATL,W,239,118,11
ATL,07/03/2021,ATL vs. MIL,L,241,107,-11
PHX,07/06/2021,PHX vs. MIL,W,241,118,13
MIL,07/06/2021,MIL @ PHX,L,240,105,-13
PHX,07/08/2021,PHX vs. MIL,W,240,118,10
MIL,07/08/2021,MIL @ PHX,L,240,108,-10
MIL,07/11/2021,MIL vs. PHX,W,240,120,20
PHX,07/11/2021,PHX @ MIL,L,239,100,-20
PHX,07/14/2021,PHX @ MIL,L,240,103,-6
MIL,07/14/2021,MIL vs. PHX,W,240,109,6
MIL,07/17/2021,MIL @ PHX,W,240,123,4
PHX,07/17/2021,PHX vs. MIL,L,241,119,-4
PHX,07/20/2021,PHX @ MIL,L,239,98,-7
MIL,07/20/2021,MIL vs. PHX,W,240,105,7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
