PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Draymond Green,GSW,06/08/2022,GSW @ BOS,L,35,2,-13
Marcus Smart,BOS,06/08/2022,BOS vs. GSW,W,39,24,19
Andrew Wiggins,GSW,06/08/2022,GSW @ BOS,L,40,18,-16
Gary Payton II,GSW,06/08/2022,GSW @ BOS,L,11,2,-13
Jayson Tatum,BOS,06/08/2022,BOS vs. GSW,W,41,26,13
Robert Williams III,BOS,06/08/2022,BOS vs. GSW,W,26,8,21
Jordan Poole,GSW,06/08/2022,GSW @ BOS,L,24,10,-6
Grant Williams,BOS,06/08/2022,BOS vs. GSW,W,20,10,10
Payton Pritchard,BOS,06/08/2022,BOS vs. GSW,W,10,3,15
Stephen Curry,GSW,06/05/2022,GSW vs. BOS,W,32,29,24
Otto Porter Jr.,GSW,06/05/2022,GSW vs. BOS,W,15,3,24
Nik Stauskas,BOS,06/05/2022,BOS @ GSW,L,4,3,5
Andrew Wiggins,GSW,06/05/2022,GSW vs. BOS,W,31,11,19
Kevon Looney,GSW,06/05/2022,GSW vs. BOS,W,21,12,24
Luke Kornet,BOS,06/05/2022,BOS @ GSW,L,4,2,5
Daniel Theis,BOS,06/05/2022,BOS @ GSW,L,14,0,-7
Robert Williams III,BOS,06/05/2022,BOS @ GSW,L,14,2,-6
Grant Williams,BOS,06/05/2022,BOS @ GSW,L,21,6,-13
Aaron Nesmith,BOS,06/05/2022,BOS @ GSW,L,11,4,10
Payton Pritchard,BOS,06/05/2022,BOS @ GSW,L,19,4,-7
Jonathan Kuminga,GSW,06/05/2022,GSW vs. BOS,W,4,0,-5
Malik Fitts,BOS,06/05/2022,BOS @ GSW,L,4,3,5
Moses Moody,GSW,06/05/2022,GSW vs. BOS,W,6,2,-3
Sam Hauser,BOS,06/05/2022,BOS @ GSW,L,6,3,3
Damion Lee,GSW,06/05/2022,GSW vs. BOS,W,4,0,-5
Juan Toscano-Anderson,GSW,06/05/2022,GSW vs. BOS,W,4,0,-5
Al Horford,BOS,06/05/2022,BOS @ GSW,L,28,2,-15
Nemanja Bjelica,GSW,06/05/2022,GSW vs. BOS,W,11,6,-7
Klay Thompson,GSW,06/05/2022,GSW vs. BOS,W,30,11,0
Draymond Green,GSW,06/05/2022,GSW vs. BOS,W,35,9,7
Marcus Smart,BOS,06/05/2022,BOS @ GSW,L,25,2,-12
Jaylen Brown,BOS,06/05/2022,BOS @ GSW,L,28,17,-10
Gary Payton II,GSW,06/05/2022,GSW vs. BOS,W,25,7,15
Jayson Tatum,BOS,06/05/2022,BOS @ GSW,L,34,28,-36
Derrick White,BOS,06/05/2022,BOS @ GSW,L,30,12,-17
Jordan Poole,GSW,06/05/2022,GSW vs. BOS,W,23,17,7
Stephen Curry,GSW,06/02/2022,GSW vs. BOS,L,38,34,-9
Nemanja Bjelica,GSW,06/02/2022,GSW vs. BOS,L,1,3,3
Nik Stauskas,BOS,06/02/2022,BOS @ GSW,W,1,0,-3
Andrew Wiggins,GSW,06/02/2022,GSW vs. BOS,L,35,20,-11
Damion Lee,GSW,06/02/2022,GSW vs. BOS,L,1,0,3
Daniel Theis,BOS,06/02/2022,BOS @ GSW,W,6,3,-3
Juan Toscano-Anderson,GSW,06/02/2022,GSW vs. BOS,L,1,0,3
Grant Williams,BOS,06/02/2022,BOS @ GSW,W,16,0,-6
Jonathan Kuminga,GSW,06/02/2022,GSW vs. BOS,L,1,0,3
Malik Fitts,BOS,06/02/2022,BOS @ GSW,W,1,0,-3
Moses Moody,GSW,06/02/2022,GSW vs. BOS,L,1,0,3
Andre Iguodala,GSW,06/02/2022,GSW vs. BOS,L,12,7,-6
Klay Thompson,GSW,06/02/2022,GSW vs. BOS,L,39,15,-9
Draymond Green,GSW,06/02/2022,GSW vs. BOS,L,38,4,-1
