PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
Brandon Ingram,NOP,04/26/2022,NOP @ PHX,L,41,22,-16
Devonte' Graham,NOP,04/26/2022,NOP @ PHX,L,12,2,-7
Aaron Holiday,PHX,04/26/2022,PHX vs. NOP,W,6,3,-2
Deandre Ayton,PHX,04/26/2022,PHX vs. NOP,W,35,19,19
Jaxson Hayes,NOP,04/26/2022,NOP @ PHX,L,16,8,-12
Naji Marshall,NOP,04/26/2022,NOP @ PHX,L,7,4,2
CJ McCollum,NOP,04/26/2022,NOP @ PHX,L,40,21,-7
Cameron Payne,PHX,04/26/2022,PHX vs. NOP,W,12,12,3
Landry Shamet,PHX,04/26/2022,PHX vs. NOP,W,25,6,6
Cameron Johnson,PHX,04/26/2022,PHX vs. NOP,W,37,8,6
Herbert Jones,NOP,04/26/2022,NOP @ PHX,L,40,4,-11
Trey Murphy III,NOP,04/26/2022,NOP @ PHX,L,13,2,0
Jose Alvarado,NOP,04/26/2022,NOP @ PHX,L,20,12,-6
Mikal Bridges,PHX,04/26/2022,PHX vs. NOP,W,47,31,13
Jae Crowder,PHX,04/26/2022,PHX vs. NOP,W,23,9,14
Patrick Beverley,MIN,04/26/2022,MIN @ MEM,L,28,9,1
Kyle Anderson,MEM,04/26/2022,MEM vs. MIN,W,18,8,-6
Karl-Anthony Towns,MIN,04/26/2022,MIN @ MEM,L,35,28,-2
Malik Beasley,MIN,04/26/2022,MIN @ MEM,L,14,8,-1
Jaren Jackson Jr.,MEM,04/26/2022,MEM vs. MIN,W,18,12,-2
Jarred Vanderbilt,MIN,04/26/2022,MIN @ MEM,L,22,6,-10
Jordan McLaughlin,MIN,04/26/2022,MIN @ MEM,L,17,2,0
John Konchar,MEM,04/26/2022,MEM vs. MIN,W,3,0,-5
Jaden McDaniels,MIN,04/26/2022,MIN @ MEM,L,18,3,13
Xavier Tillman Sr.,MEM,04/26/2022,MEM vs. MIN,W,16,2,-6
Ziaire Williams,MEM,04/26/2022,MEM vs. MIN,W,4,0,0
Dillon Brooks,MEM,04/26/2022,MEM vs. MIN,W,36,8,8
Tyus Jones,MEM,04/26/2022,MEM vs. MIN,W,20,5,12
D'Angelo Russell,MIN,04/26/2022,MIN @ MEM,L,39,12,-3
Taurean Prince,MIN,04/26/2022,MIN @ MEM,L,19,10,-6
Ja Morant,MEM,04/26/2022,MEM vs. MIN,W,45,30,6
Brandon Clarke,MEM,04/26/2022,MEM vs. MIN,W,37,21,0
Naz Reid,MIN,04/26/2022,MIN @ MEM,L,13,9,0
Anthony Edwards,MIN,04/26/2022,MIN @ MEM,L,35,22,-2
Desmond Bane,MEM,04/26/2022,MEM vs. MIN,W,45,25,3
Markieff Morris,MIA,04/26/2022,MIA vs. ATL,W,0,0,0
Dewayne Dedmon,MIA,04/26/2022,MIA vs. ATL,W,2,0,-2
Victor Oladipo,MIA,04/26/2022,MIA vs. ATL,W,36,23,7
Timothe Luwawu-Cabarrot,ATL,04/26/2022,ATL @ MIA,L,0,0,0
John Collins,ATL,04/26/2022,ATL @ MIA,L,26,7,-21
Kevin Huerter,ATL,04/26/2022,ATL @ MIA,L,33,12,-10
Duncan Robinson,MIA,04/26/2022,MIA vs. ATL,W,12,0,-1
Max Strus,MIA,04/26/2022,MIA vs. ATL,W,32,15,0
Danilo Gallinari,ATL,04/26/2022,ATL @ MIA,L,21,12,11
Delon Wright,ATL,04/26/2022,ATL @ MIA,L,31,7,9
Caleb Martin,MIA,04/26/2022,MIA vs. ATL,W,21,10,-11
Gabe Vincent,MIA,04/26/2022,MIA vs. ATL,W,30,9,9
De'Andre Hunter,ATL,04/26/2022,ATL @ MIA,L,43,35,3
Tyler Herro,MIA,04/26/2022,MIA vs. ATL,W,33,16,-6
Onyeka Okongwu,ATL,04/26/2022,ATL @ MIA,L,26,8,12
Clint Capela,ATL,04/26/2022,ATL @ MIA,L,19,2,-16
Trae Young,ATL,04/26/2022,ATL @ MIA,L,41,11,-3
P.J. Tucker,MIA,04/26/2022,MIA vs. ATL,W,32,4,14
Bam Adebayo,MIA,04/26/2022,MIA vs. ATL,W,41,20,5
Hassan Whiteside,UTA,04/25/2022,UTA @ DAL,L,13,2,-18
Bojan Bogdanovic,UTA,04/25/2022,UTA @ DAL,L,28,2,-37
Davis Bertans,DAL,04/25/2022,DAL vs. UTA,W,6,0,-2
Trey Burke,DAL,04/25/2022,DAL vs. UTA,W,5,4,-4
Royce O'Neale,UTA,04/25/2022,UTA @ DAL,L,22,5,-29
Boban Marjanovic,DAL,04/25/2022,DAL vs. UTA,W,1,0,-2
Marquese Chriss,DAL,04/25/2022,DAL vs. UTA,W,4,2,-3
Juancho Hernangomez,UTA,04/25/2022,UTA @ DAL,L,19,5,8
Donovan Mitchell,UTA,04/25/2022,UTA @ DAL,L,32,9,-38
Maxi Kleber,DAL,04/25/2022,DAL vs. UTA,W,20,0,15
Luka Doncic,DAL,04/25/2022,DAL vs. UTA,W,33,33,32
Nickeil Alexander-Walker,UTA,04/25/2022,UTA @ DAL,L,5,5,4
Eric Paschall,UTA,04/25/2022,UTA @ DAL,L,8,0,1
Jared Butler,UTA,04/25/2022,UTA @ DAL,L,5,0,4
Mike Conley,UTA,04/25/2022,UTA @ DAL,L,27,4,-7
Rudy Gobert,UTA,04/25/2022,UTA @ DAL,L,27,17,-8
Jordan Clarkson,UTA,04/25/2022,UTA @ DAL,L,32,20,-17
Spencer Dinwiddie,DAL,04/25/2022,DAL vs. UTA,W,28,9,1
Dwight Powell,DAL,04/25/2022,DAL vs. UTA,W,20,8,14
Danuel House Jr.,UTA,04/25/2022,UTA @ DAL,L,23,8,12
Jalen Brunson,DAL,04/25/2022,DAL vs. UTA,W,37,24,23
Josh Green,DAL,04/25/2022,DAL vs. UTA,W,14,0,-9
Reggie Bullock,DAL,04/25/2022,DAL vs. UTA,W,31,9,31
Dorian Finney-Smith,DAL,04/25/2022,DAL vs. UTA,W,41,13,29
Thaddeus Young,TOR,04/25/2022,TOR @ PHI,W,16,3,5
Danny Green,PHI,04/25/2022,PHI vs. TOR,L,25,14,-14
Khem Birch,TOR,04/25/2022,TOR @ PHI,W,11,7,2
Joel Embiid,PHI,04/25/2022,PHI vs. TOR,L,40,20,-4
Georges Niang,PHI,04/25/2022,PHI vs. TOR,L,13,3,-2
Furkan Korkmaz,PHI,04/25/2022,PHI vs. TOR,L,2,3,-1
OG Anunoby,TOR,04/25/2022,TOR @ PHI,W,39,16,18
Shake Milton,PHI,04/25/2022,PHI vs. TOR,L,10,0,1
Svi Mykhailiuk,TOR,04/25/2022,TOR @ PHI,W,1,1,-3
Yuta Watanabe,TOR,04/25/2022,TOR @ PHI,W,1,2,-3
Matisse Thybulle,PHI,04/25/2022,PHI vs. TOR,L,14,2,-1
Armoni Brooks,TOR,04/25/2022,TOR @ PHI,W,1,0,-3
Precious Achiuwa,TOR,04/25/2022,TOR @ PHI,W,27,17,10
Isaiah Joe,PHI,04/25/2022,PHI vs. TOR,L,2,0,-1
Malachi Flynn,TOR,04/25/2022,TOR @ PHI,W,1,0,-3
Dalano Banton,TOR,04/25/2022,TOR @ PHI,W,1,0,-3
James Harden,PHI,04/25/2022,PHI vs. TOR,L,40,15,-10
Tobias Harris,PHI,04/25/2022,PHI vs. TOR,L,44,16,-16
Pascal Siakam,TOR,04/25/2022,TOR @ PHI,W,44,23,24
Chris Boucher,TOR,04/25/2022,TOR @ PHI,W,17,6,5
Gary Trent Jr.,TOR,04/25/2022,TOR @ PHI,W,39,16,13
Tyrese Maxey,PHI,04/25/2022,PHI vs. TOR,L,42,12,-16
Paul Reed,PHI,04/25/2022,PHI vs. TOR,L,8,3,-11
Scottie Barnes,TOR,04/25/2022,TOR @ PHI,W,41,12,13
Al Horford,BOS,04/25/2022,BOS @ BKN,W,26,13,4
Patty Mills,BKN,04/25/2022,BKN vs. BOS,L,19,5,-9
Andre Drummond,BKN,04/25/2022,BKN vs. BOS,L,4,0,-3
Marcus Smart,BOS,04/25/2022,BOS @ BKN,W,37,20,9
Jayson Tatum,BOS,04/25/2022,BOS @ BKN,W,36,29,10
Bruce Brown,BKN,04/25/2022,BKN vs. BOS,L,24,2,-7
Robert Williams III,BOS,04/25/2022,BOS @ BKN,W,14,3,-3
Nic Claxton,BKN,04/25/2022,BKN vs. BOS,L,23,13,-7
Kevin Durant,BKN,04/25/2022,BKN vs. BOS,L,47,39,-6
Goran Dragic,BKN,04/25/2022,BKN vs. BOS,L,24,10,6
Blake Griffin,BKN,04/25/2022,BKN vs. BOS,L,18,0,10
Kyrie Irving,BKN,04/25/2022,BKN vs. BOS,L,45,20,-3
Seth Curry,BKN,04/25/2022,BKN vs. BOS,L,38,23,-1
Jaylen Brown,BOS,04/25/2022,BOS @ BKN,W,38,22,4
Derrick White,BOS,04/25/2022,BOS @ BKN,W,27,9,-2
Daniel Theis,BOS,04/25/2022,BOS @ BKN,W,20,6,5
Grant Williams,BOS,04/25/2022,BOS @ BKN,W,33,14,1
Payton Pritchard,BOS,04/25/2022,BOS @ BKN,W,9,0,-8
Garrett Temple,NOP,04/24/2022,NOP vs. PHX,W,2,0,-2
Bismack Biyombo,PHX,04/24/2022,PHX @ NOP,L,2,0,3
Elfrid Payton,PHX,04/24/2022,PHX @ NOP,L,2,2,3
Cameron Payne,PHX,04/24/2022,PHX @ NOP,L,18,8,-2
Willy Hernangomez,NOP,04/24/2022,NOP vs. PHX,W,2,2,-2
Larry Nance Jr.,NOP,04/24/2022,NOP vs. PHX,W,25,6,14
Brandon Ingram,NOP,04/24/2022,NOP vs. PHX,W,36,30,18
Torrey Craig,PHX,04/24/2022,PHX @ NOP,L,10,6,-2
Aaron Holiday,PHX,04/24/2022,PHX @ NOP,L,2,7,3
Deandre Ayton,PHX,04/24/2022,PHX @ NOP,L,33,23,-11
Jaxson Hayes,NOP,04/24/2022,NOP vs. PHX,W,13,2,8
Trey Murphy III,NOP,04/24/2022,NOP vs. PHX,W,16,2,7
Jose Alvarado,NOP,04/24/2022,NOP vs. PHX,W,18,5,1
Ish Wainright,PHX,04/24/2022,PHX @ NOP,L,2,0,3
Jae Crowder,PHX,04/24/2022,PHX @ NOP,L,29,11,-9
Chris Paul,PHX,04/24/2022,PHX @ NOP,L,35,4,-14
JaVale McGee,PHX,04/24/2022,PHX @ NOP,L,13,14,-7
Jonas Valanciunas,NOP,04/24/2022,NOP vs. PHX,W,33,26,19
CJ McCollum,NOP,04/24/2022,NOP vs. PHX,W,36,18,4
Mikal Bridges,PHX,04/24/2022,PHX @ NOP,L,41,8,-15
Devonte' Graham,NOP,04/24/2022,NOP vs. PHX,W,13,8,7
Landry Shamet,PHX,04/24/2022,PHX @ NOP,L,20,7,-8
Cameron Johnson,PHX,04/24/2022,PHX @ NOP,L,32,13,-19
Naji Marshall,NOP,04/24/2022,NOP vs. PHX,W,10,6,-6
Herbert Jones,NOP,04/24/2022,NOP vs. PHX,W,35,13,7
Danilo Gallinari,ATL,04/24/2022,ATL vs. MIA,L,15,9,4
Jimmy Butler,MIA,04/24/2022,MIA @ ATL,W,36,36,14
Victor Oladipo,MIA,04/24/2022,MIA @ ATL,W,23,6,28
Delon Wright,ATL,04/24/2022,ATL vs. MIA,L,26,7,-15
Bam Adebayo,MIA,04/24/2022,MIA @ ATL,W,30,14,8
Kevin Huerter,ATL,04/24/2022,ATL vs. MIA,L,30,4,-9
Max Strus,MIA,04/24/2022,MIA @ ATL,W,36,12,34
De'Andre Hunter,ATL,04/24/2022,ATL vs. MIA,L,30,24,-29
Tyler Herro,MIA,04/24/2022,MIA @ ATL,W,21,3,7
Onyeka Okongwu,ATL,04/24/2022,ATL vs. MIA,L,19,4,0
P.J. Tucker,MIA,04/24/2022,MIA @ ATL,W,28,14,22
Dewayne Dedmon,MIA,04/24/2022,MIA @ ATL,W,4,3,1
Clint Capela,ATL,04/24/2022,ATL vs. MIA,L,21,2,-11
Bogdan Bogdanovic,ATL,04/24/2022,ATL vs. MIA,L,21,4,-10
Timothe Luwawu-Cabarrot,ATL,04/24/2022,ATL vs. MIA,L,4,0,0
John Collins,ATL,04/24/2022,ATL vs. MIA,L,22,11,-23
Kevin Knox II,ATL,04/24/2022,ATL vs. MIA,L,4,12,0
Caleb Martin,MIA,04/24/2022,MIA @ ATL,W,19,3,1
Duncan Robinson,MIA,04/24/2022,MIA @ ATL,W,9,3,-10
Gabe Vincent,MIA,04/24/2022,MIA @ ATL,W,27,11,19
Haywood Highsmith,MIA,04/24/2022,MIA @ ATL,W,3,3,-2
Omer Yurtseven,MIA,04/24/2022,MIA @ ATL,W,3,2,-2
Skylar Mays,ATL,04/24/2022,ATL vs. MIA,L,4,0,0
Jalen Johnson,ATL,04/24/2022,ATL vs. MIA,L,4,0,0
Gorgui Dieng,ATL,04/24/2022,ATL vs. MIA,L,4,0,0
Trae Young,ATL,04/24/2022,ATL vs. MIA,L,36,9,-27
Andre Iguodala,GSW,04/24/2022,GSW @ DEN,L,13,0,-10
Stephen Curry,GSW,04/24/2022,GSW @ DEN,L,37,33,-4
DeMarcus Cousins,DEN,04/24/2022,DEN vs. GSW,W,10,10,7
Klay Thompson,GSW,04/24/2022,GSW @ DEN,L,31,32,9
Austin Rivers,DEN,04/24/2022,DEN vs. GSW,W,36,3,12
Will Barton,DEN,04/24/2022,DEN vs. GSW,W,32,6,-12
JaMychal Green,DEN,04/24/2022,DEN vs. GSW,W,14,7,9
Andrew Wiggins,GSW,04/24/2022,GSW @ DEN,L,37,20,5
Jordan Poole,GSW,04/24/2022,GSW @ DEN,L,39,11,-6
Bones Hyland,DEN,04/24/2022,DEN vs. GSW,W,20,15,13
Draymond Green,GSW,04/24/2022,GSW @ DEN,L,34,13,18
Jeff Green,DEN,04/24/2022,DEN vs. GSW,W,16,3,0
Nemanja Bjelica,GSW,04/24/2022,GSW @ DEN,L,5,0,-9
Otto Porter Jr.,GSW,04/24/2022,GSW @ DEN,L,15,1,-16
Aaron Gordon,DEN,04/24/2022,DEN vs. GSW,W,35,21,-7
Nikola Jokic,DEN,04/24/2022,DEN vs. GSW,W,38,37,-2
Kevon Looney,GSW,04/24/2022,GSW @ DEN,L,12,2,0
Gary Payton II,GSW,04/24/2022,GSW @ DEN,L,7,0,-9
Bryn Forbes,DEN,04/24/2022,DEN vs. GSW,W,11,0,13
Monte Morris,DEN,04/24/2022,DEN vs. GSW,W,29,24,-8
Jonathan Kuminga,GSW,04/24/2022,GSW @ DEN,L,11,9,-3
Facundo Campazzo,DEN,04/24/2022,DEN vs. GSW,W,0,0,0
Brook Lopez,MIL,04/24/2022,MIL @ CHI,W,22,2,15
Serge Ibaka,MIL,04/24/2022,MIL @ CHI,W,3,4,2
Jrue Holiday,MIL,04/24/2022,MIL @ CHI,W,37,26,23
Tristan Thompson,CHI,04/24/2022,CHI vs. MIL,L,5,0,-7
Thanasis Antetokounmpo,MIL,04/24/2022,MIL @ CHI,W,3,0,2
Bobby Portis,MIL,04/24/2022,MIL @ CHI,W,33,14,11
Derrick Jones Jr.,CHI,04/24/2022,CHI vs. MIL,L,14,5,-9
Alex Caruso,CHI,04/24/2022,CHI vs. MIL,L,17,0,-8
Troy Brown Jr.,CHI,04/24/2022,CHI vs. MIL,L,2,0,-4
Jordan Nwora,MIL,04/24/2022,MIL @ CHI,W,2,0,-1
Rayjon Tucker,MIL,04/24/2022,MIL @ CHI,W,2,0,4
Javonte Green,CHI,04/24/2022,CHI vs. MIL,L,6,2,0
Ayo Dosunmu,CHI,04/24/2022,CHI vs. MIL,L,29,8,-7
DeMar DeRozan,CHI,04/24/2022,CHI vs. MIL,L,41,23,-24
Wesley Matthews,MIL,04/24/2022,MIL @ CHI,W,26,6,10
Nikola Vucevic,CHI,04/24/2022,CHI vs. MIL,L,38,11,-10
Giannis Antetokounmpo,MIL,04/24/2022,MIL @ CHI,W,35,32,12
Pat Connaughton,MIL,04/24/2022,MIL @ CHI,W,28,5,8
Grayson Allen,MIL,04/24/2022,MIL @ CHI,W,28,27,23
Jevon Carter,MIL,04/24/2022,MIL @ CHI,W,21,3,11
Coby White,CHI,04/24/2022,CHI vs. MIL,L,13,2,-17
Patrick Williams,CHI,04/24/2022,CHI vs. MIL,L,33,20,-22
Zach LaVine,CHI,04/24/2022,CHI vs. MIL,L,42,24,-12
Steven Adams,MEM,04/23/2022,MEM @ MIN,L,4,0,-5
D'Angelo Russell,MIN,04/23/2022,MIN vs. MEM,W,35,10,5
Karl-Anthony Towns,MIN,04/23/2022,MIN vs. MEM,W,42,33,5
Malik Beasley,MIN,04/23/2022,MIN vs. MEM,W,12,0,1
Jaren Jackson Jr.,MEM,04/23/2022,MEM @ MIN,L,23,7,-1
De'Anthony Melton,MEM,04/23/2022,MEM @ MIN,L,7,0,1
John Konchar,MEM,04/23/2022,MEM @ MIN,L,0,0,0
Anthony Edwards,MIN,04/23/2022,MIN vs. MEM,W,37,24,-2
Jaden McDaniels,MIN,04/23/2022,MIN vs. MEM,W,10,4,-1
Xavier Tillman Sr.,MEM,04/23/2022,MEM @ MIN,L,16,2,-9
Desmond Bane,MEM,04/23/2022,MEM @ MIN,L,35,34,10
Patrick Beverley,MIN,04/23/2022,MIN vs. MEM,W,37,17,0
Kyle Anderson,MEM,04/23/2022,MEM @ MIN,L,22,6,-1
Tyus Jones,MEM,04/23/2022,MEM @ MIN,L,22,13,3
Taurean Prince,MIN,04/23/2022,MIN vs. MEM,W,12,3,-4
Dillon Brooks,MEM,04/23/2022,MEM @ MIN,L,34,24,-3
Jarred Vanderbilt,MIN,04/23/2022,MIN vs. MEM,W,35,12,-1
Jordan McLaughlin,MIN,04/23/2022,MIN vs. MEM,W,14,16,6
Ja Morant,MEM,04/23/2022,MEM @ MIN,L,34,11,-6
Brandon Clarke,MEM,04/23/2022,MEM @ MIN,L,29,15,13
Naz Reid,MIN,04/23/2022,MIN vs. MEM,W,5,0,-4
Ziaire Williams,MEM,04/23/2022,MEM @ MIN,L,14,6,-7
Al Horford,BOS,04/23/2022,BOS @ BKN,W,28,3,3
Goran Dragic,BKN,04/23/2022,BKN vs. BOS,L,9,0,-12
Patty Mills,BKN,04/23/2022,BKN vs. BOS,L,23,12,4
Andre Drummond,BKN,04/23/2022,BKN vs. BOS,L,16,2,-9
Derrick White,BOS,04/23/2022,BOS @ BKN,W,14,2,5
Daniel Theis,BOS,04/23/2022,BOS @ BKN,W,17,9,5
Bruce Brown,BKN,04/23/2022,BKN vs. BOS,L,40,26,1
Robert Williams III,BOS,04/23/2022,BOS @ BKN,W,16,2,5
Nic Claxton,BKN,04/23/2022,BKN vs. BOS,L,21,13,-2
Payton Pritchard,BOS,04/23/2022,BOS @ BKN,W,12,10,8
Kevin Durant,BKN,04/23/2022,BKN vs. BOS,L,46,16,-2
Blake Griffin,BKN,04/23/2022,BKN vs. BOS,L,8,8,-4
Kyrie Irving,BKN,04/23/2022,BKN vs. BOS,L,43,16,-3
Seth Curry,BKN,04/23/2022,BKN vs. BOS,L,34,10,-3
Marcus Smart,BOS,04/23/2022,BOS @ BKN,W,38,14,-5
Jaylen Brown,BOS,04/23/2022,BOS @ BKN,W,38,23,3
Jayson Tatum,BOS,04/23/2022,BOS @ BKN,W,45,39,4
Grant Williams,BOS,04/23/2022,BOS @ BKN,W,32,7,2
Mike Conley,UTA,04/23/2022,UTA vs. DAL,W,24,6,-4
Hassan Whiteside,UTA,04/23/2022,UTA vs. DAL,W,14,2,2
Bojan Bogdanovic,UTA,04/23/2022,UTA vs. DAL,W,39,12,-4
Davis Bertans,DAL,04/23/2022,DAL @ UTA,L,3,1,1
Royce O'Neale,UTA,04/23/2022,UTA vs. DAL,W,33,7,-5
Dorian Finney-Smith,DAL,04/23/2022,DAL @ UTA,L,40,11,5
Danuel House Jr.,UTA,04/23/2022,UTA vs. DAL,W,13,2,-2
Eric Paschall,UTA,04/23/2022,UTA vs. DAL,W,2,0,-2
Josh Green,DAL,04/23/2022,DAL @ UTA,L,16,4,-9
Dwight Powell,DAL,04/23/2022,DAL @ UTA,L,24,11,6
Juancho Hernangomez,UTA,04/23/2022,UTA vs. DAL,W,9,6,5
Donovan Mitchell,UTA,04/23/2022,UTA vs. DAL,W,38,23,-4
Jalen Brunson,DAL,04/23/2022,DAL @ UTA,L,35,23,6
Reggie Bullock,DAL,04/23/2022,DAL @ UTA,L,46,11,-2
Rudy Gobert,UTA,04/23/2022,UTA vs. DAL,W,32,17,1
Jordan Clarkson,UTA,04/23/2022,UTA vs. DAL,W,36,25,18
Spencer Dinwiddie,DAL,04/23/2022,DAL @ UTA,L,24,5,-14
Maxi Kleber,DAL,04/23/2022,DAL @ UTA,L,18,3,-5
Luka Doncic,DAL,04/23/2022,DAL @ UTA,L,34,30,7
Khem Birch,TOR,04/23/2022,TOR vs. PHI,W,6,0,-2
Joel Embiid,PHI,04/23/2022,PHI @ TOR,L,39,21,-5
Furkan Korkmaz,PHI,04/23/2022,PHI @ TOR,L,1,0,4
Fred VanVleet,TOR,04/23/2022,TOR vs. PHI,W,15,5,3
Shake Milton,PHI,04/23/2022,PHI @ TOR,L,15,7,5
Svi Mykhailiuk,TOR,04/23/2022,TOR vs. PHI,W,1,0,-5
Gary Trent Jr.,TOR,04/23/2022,TOR vs. PHI,W,39,24,7
Yuta Watanabe,TOR,04/23/2022,TOR vs. PHI,W,1,0,-5
Armoni Brooks,TOR,04/23/2022,TOR vs. PHI,W,1,0,-3
Isaiah Joe,PHI,04/23/2022,PHI @ TOR,L,1,3,4
Malachi Flynn,TOR,04/23/2022,TOR vs. PHI,W,1,0,-4
Jaden Springer,PHI,04/23/2022,PHI @ TOR,L,1,0,4
Scottie Barnes,TOR,04/23/2022,TOR vs. PHI,W,26,6,3
Dalano Banton,TOR,04/23/2022,TOR vs. PHI,W,1,3,-5
Thaddeus Young,TOR,04/23/2022,TOR vs. PHI,W,30,13,14
Tobias Harris,PHI,04/23/2022,PHI @ TOR,L,41,15,-6
Georges Niang,PHI,04/23/2022,PHI @ TOR,L,22,9,-13
Pascal Siakam,TOR,04/23/2022,TOR vs. PHI,W,44,34,13
OG Anunoby,TOR,04/23/2022,TOR vs. PHI,W,31,11,1
Chris Boucher,TOR,04/23/2022,TOR vs. PHI,W,19,9,13
Precious Achiuwa,TOR,04/23/2022,TOR vs. PHI,W,24,5,10
Tyrese Maxey,PHI,04/23/2022,PHI @ TOR,L,39,11,-12
Paul Reed,PHI,04/23/2022,PHI @ TOR,L,9,8,-3
James Harden,PHI,04/23/2022,PHI @ TOR,L,42,22,-14
Danny Green,PHI,04/23/2022,PHI @ TOR,L,28,6,-4
CJ McCollum,NOP,04/22/2022,NOP vs. PHX,L,41,30,-8
Brandon Ingram,NOP,04/22/2022,NOP vs. PHX,L,37,34,-2
Chris Paul,PHX,04/22/2022,PHX @ NOP,W,40,28,10
Jonas Valanciunas,NOP,04/22/2022,NOP vs. PHX,L,26,6,-4
Jae Crowder,PHX,04/22/2022,PHX @ NOP,W,34,10,10
Mikal Bridges,PHX,04/22/2022,PHX @ NOP,W,40,17,10
Devonte' Graham,NOP,04/22/2022,NOP vs. PHX,L,13,12,1
Deandre Ayton,PHX,04/22/2022,PHX @ NOP,W,35,28,18
Jaxson Hayes,NOP,04/22/2022,NOP vs. PHX,L,10,4,-5
Trey Murphy III,NOP,04/22/2022,NOP vs. PHX,L,23,0,21
JaVale McGee,PHX,04/22/2022,PHX @ NOP,W,12,15,-9
Cameron Payne,PHX,04/22/2022,PHX @ NOP,W,13,3,4
Larry Nance Jr.,NOP,04/22/2022,NOP vs. PHX,L,23,2,-2
Torrey Craig,PHX,04/22/2022,PHX @ NOP,W,10,0,-15
Landry Shamet,PHX,04/22/2022,PHX @ NOP,W,29,5,-9
Cameron Johnson,PHX,04/22/2022,PHX @ NOP,W,27,8,-4
Naji Marshall,NOP,04/22/2022,NOP vs. PHX,L,11,2,7
Herbert Jones,NOP,04/22/2022,NOP vs. PHX,L,40,12,-8
Jose Alvarado,NOP,04/22/2022,NOP vs. PHX,L,17,9,-15
Bismack Biyombo,PHX,04/22/2022,PHX @ NOP,W,0,0,0
Brook Lopez,MIL,04/22/2022,MIL @ CHI,W,25,9,13
Serge Ibaka,MIL,04/22/2022,MIL @ CHI,W,9,5,-2
DeMar DeRozan,CHI,04/22/2022,CHI vs. MIL,L,32,11,-23
Jrue Holiday,MIL,04/22/2022,MIL @ CHI,W,30,16,27
Wesley Matthews,MIL,04/22/2022,MIL @ CHI,W,25,3,14
Nikola Vucevic,CHI,04/22/2022,CHI vs. MIL,L,30,19,-19
Thanasis Antetokounmpo,MIL,04/22/2022,MIL @ CHI,W,9,4,-2
Zach LaVine,CHI,04/22/2022,CHI vs. MIL,L,31,15,-22
Derrick Jones Jr.,CHI,04/22/2022,CHI vs. MIL,L,14,2,-11
Alex Caruso,CHI,04/22/2022,CHI vs. MIL,L,26,9,-20
Tony Bradley,CHI,04/22/2022,CHI vs. MIL,L,6,10,5
Jordan Nwora,MIL,04/22/2022,MIL @ CHI,W,9,2,-2
Rayjon Tucker,MIL,04/22/2022,MIL @ CHI,W,8,0,-3
Javonte Green,CHI,04/22/2022,CHI vs. MIL,L,8,0,0
Luca Vildoza,MIL,04/22/2022,MIL @ CHI,W,8,3,-3
Tristan Thompson,CHI,04/22/2022,CHI vs. MIL,L,12,2,-16
Giannis Antetokounmpo,MIL,04/22/2022,MIL @ CHI,W,29,18,36
Bobby Portis,MIL,04/22/2022,MIL @ CHI,W,25,18,20
Pat Connaughton,MIL,04/22/2022,MIL @ CHI,W,21,11,18
Grayson Allen,MIL,04/22/2022,MIL @ CHI,W,25,22,15
Troy Brown Jr.,CHI,04/22/2022,CHI vs. MIL,L,12,2,1
Jevon Carter,MIL,04/22/2022,MIL @ CHI,W,18,0,19
Coby White,CHI,04/22/2022,CHI vs. MIL,L,21,6,-19
Patrick Williams,CHI,04/22/2022,CHI vs. MIL,L,30,1,-15
Ayo Dosunmu,CHI,04/22/2022,CHI vs. MIL,L,18,4,-11
Bogdan Bogdanovic,ATL,04/22/2022,ATL vs. MIA,W,32,18,16
Kevin Huerter,ATL,04/22/2022,ATL vs. MIA,W,33,13,-5
Kyle Lowry,MIA,04/22/2022,MIA @ ATL,L,23,6,18
P.J. Tucker,MIA,04/22/2022,MIA @ ATL,L,33,11,13
Danilo Gallinari,ATL,04/22/2022,ATL vs. MIA,W,25,11,-23
Dewayne Dedmon,MIA,04/22/2022,MIA @ ATL,L,13,7,-12
John Collins,ATL,04/22/2022,ATL vs. MIA,W,24,6,-18
Bam Adebayo,MIA,04/22/2022,MIA @ ATL,L,35,13,11
Caleb Martin,MIA,04/22/2022,MIA @ ATL,L,1,0,-4
Trae Young,ATL,04/22/2022,ATL vs. MIA,W,40,24,5
Duncan Robinson,MIA,04/22/2022,MIA @ ATL,L,14,6,-8
Max Strus,MIA,04/22/2022,MIA @ ATL,L,29,20,14
Jimmy Butler,MIA,04/22/2022,MIA @ ATL,L,41,20,-1
Delon Wright,ATL,04/22/2022,ATL vs. MIA,W,30,13,23
Gabe Vincent,MIA,04/22/2022,MIA @ ATL,L,18,3,-15
De'Andre Hunter,ATL,04/22/2022,ATL vs. MIA,W,32,17,-12
Tyler Herro,MIA,04/22/2022,MIA @ ATL,L,34,24,-21
Onyeka Okongwu,ATL,04/22/2022,ATL vs. MIA,W,24,9,19
Jeff Green,DEN,04/21/2022,DEN vs. GSW,L,22,4,3
Stephen Curry,GSW,04/21/2022,GSW @ DEN,W,31,27,3
Draymond Green,GSW,04/21/2022,GSW @ DEN,W,35,6,4
Will Barton,DEN,04/21/2022,DEN vs. GSW,L,34,13,-6
Aaron Gordon,DEN,04/21/2022,DEN vs. GSW,L,34,18,5
